団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
10006,北海道,,873,880,7
11011,北海道,札幌市中央区,10,10,0
11029,北海道,札幌市北区,13,13,0
11037,北海道,札幌市東区,9,9,0
11045,北海道,札幌市白石区,10,10,0
11053,北海道,札幌市豊平区,10,10,0
11061,北海道,札幌市南区,14,14,0
11070,北海道,札幌市西区,4,4,0
11088,北海道,札幌市厚別区,18,18,0
11096,北海道,札幌市手稲区,6,6,0
11100,北海道,札幌市清田区,4,4,0
12025,北海道,函館市,60,60,0
12033,北海道,小樽市,31,31,0
12041,北海道,旭川市,53,53,0
12050,北海道,室蘭市,32,32,0
12068,北海道,釧路市,38,38,0
12076,北海道,帯広市,33,33,0
12084,北海道,北見市,21,21,0
12092,北海道,夕張市,1,1,0
12106,北海道,岩見沢市,5,5,0
12114,北海道,網走市,14,14,0
12122,北海道,留萌市,7,7,0
12131,北海道,苫小牧市,56,56,0
12149,北海道,稚内市,13,13,0
12173,北海道,江別市,28,28,0
12181,北海道,赤平市,5,5,0
12190,北海道,紋別市,9,9,0
12203,北海道,士別市,5,5,0
12211,北海道,名寄市,6,6,0
12220,北海道,三笠市,4,4,0
12238,北海道,根室市,9,9,0
12246,北海道,千歳市,32,32,0
12254,北海道,滝川市,0,2,2
12262,北海道,砂川市,0,1,1
12271,北海道,歌志内市,1,2,1
12289,北海道,深川市,1,2,1
12297,北海道,富良野市,8,8,0
12301,北海道,登別市,23,23,0
12319,北海道,恵庭市,22,22,0
12335,北海道,伊達市,6,6,0
12343,北海道,北広島市,26,26,0
12351,北海道,石狩市,2,2,0
12360,北海道,北斗市,15,15,0
13315,北海道,松前郡松前町,1,1,0
13323,北海道,松前郡福島町,2,2,0
13340,北海道,上磯郡木古内町,2,2,0
13374,北海道,亀田郡七飯町,6,6,0
13439,北海道,茅部郡鹿部町,1,1,0
13455,北海道,茅部郡森町,1,2,1
13463,北海道,二海郡八雲町,1,1,0
14028,北海道,岩内郡岩内町,1,1,0
14231,北海道,空知郡南幌町,1,1,0
14249,北海道,空知郡奈井江町,3,3,0
14281,北海道,夕張郡長沼町,1,1,0
14290,北海道,夕張郡栗山町,1,1,0
14311,北海道,樺戸郡浦臼町,1,1,0
14320,北海道,樺戸郡新十津川町,1,1,0
14346,北海道,雨竜郡秩父別町,1,1,0
14524,北海道,上川郡鷹栖町,2,2,0
14532,北海道,上川郡東神楽町,2,2,0
14559,北海道,上川郡比布町,2,2,0
14583,北海道,上川郡東川町,3,3,0
14605,北海道,空知郡上富良野町,2,2,0
14613,北海道,空知郡中富良野町,1,1,0
14621,北海道,空知郡南富良野町,1,1,0
14648,北海道,上川郡和寒町,1,1,0
14681,北海道,上川郡下川町,1,1,0
14699,北海道,中川郡美深町,1,1,0
14818,北海道,増毛郡増毛町,1,1,0
14826,北海道,留萌郡小平町,2,2,0
14834,北海道,苫前郡苫前町,1,1,0
14842,北海道,苫前郡羽幌町,3,3,0
14869,北海道,天塩郡遠別町,1,1,0
14877,北海道,天塩郡天塩町,1,1,0
15121,北海道,枝幸郡浜頓別町,2,2,0
15164,北海道,天塩郡豊富町,3,3,0
15202,北海道,天塩郡幌延町,2,2,0
15431,北海道,網走郡美幌町,5,5,0
15440,北海道,網走郡津別町,2,2,0
15458,北海道,斜里郡斜里町,0,1,1
15474,北海道,斜里郡小清水町,1,1,0
15555,北海道,紋別郡遠軽町,4,4,0
15598,北海道,紋別郡湧別町,3,3,0
15601,北海道,紋別郡滝上町,1,1,0
15610,北海道,紋別郡興部町,1,1,0
15644,北海道,網走郡大空町,3,3,0
15750,北海道,有珠郡壮瞥町,1,1,0
15784,北海道,白老郡白老町,13,13,0
15849,北海道,虻田郡洞爺湖町,4,4,0
15857,北海道,勇払郡安平町,2,2,0
15865,北海道,勇払郡むかわ町,3,3,0
16012,北海道,沙流郡日高町,5,5,0
16021,北海道,沙流郡平取町,5,5,0
16047,北海道,新冠郡新冠町,3,3,0
16071,北海道,浦河郡浦河町,9,9,0
16080,北海道,様似郡様似町,2,2,0
16101,北海道,日高郡新ひだか町,6,6,0
16314,北海道,河東郡音更町,9,9,0
16322,北海道,河東郡士幌町,1,1,0
16349,北海道,河東郡鹿追町,1,1,0
16357,北海道,上川郡新得町,4,4,0
16365,北海道,上川郡清水町,1,1,0
16373,北海道,河西郡芽室町,7,7,0
16381,北海道,河西郡中札内村,1,1,0
16390,北海道,河西郡更別村,1,1,0
16411,北海道,広尾郡大樹町,1,1,0
16420,北海道,広尾郡広尾町,3,3,0
16438,北海道,中川郡幕別町,4,4,0
16446,北海道,中川郡池田町,1,1,0
16454,北海道,中川郡豊頃町,2,2,0
16489,北海道,足寄郡陸別町,1,1,0
16616,北海道,釧路郡釧路町,8,8,0
16624,北海道,厚岸郡厚岸町,8,8,0
16632,北海道,厚岸郡浜中町,2,2,0
16641,北海道,川上郡標茶町,3,3,0
16659,北海道,川上郡弟子屈町,2,2,0
16675,北海道,阿寒郡鶴居村,2,2,0
16683,北海道,白糠郡白糠町,2,2,0
16918,北海道,野付郡別海町,3,3,0
16926,北海道,標津郡中標津町,13,13,0
