団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
20001,青森県,,172,172,0
22012,青森県,青森市,51,51,0
22021,青森県,弘前市,24,24,0
22039,青森県,八戸市,48,48,0
22055,青森県,五所川原市,14,14,0
22080,青森県,むつ市,10,10,0
22098,青森県,つがる市,1,1,0
23019,青森県,東津軽郡平内町,2,2,0
23817,青森県,北津軽郡板柳町,3,3,0
23841,青森県,北津軽郡鶴田町,5,5,0
24082,青森県,上北郡東北町,1,1,0
24121,青森県,上北郡おいらせ町,8,8,0
24414,青森県,三戸郡三戸町,1,1,0
24422,青森県,三戸郡五戸町,2,2,0
24457,青森県,三戸郡南部町,1,1,0
24465,青森県,三戸郡階上町,1,1,0
30007,岩手県,,106,106,0
32018,岩手県,盛岡市,48,48,0
32034,岩手県,大船渡市,13,13,0
32051,岩手県,花巻市,6,6,0
32093,岩手県,一関市,3,3,0
32107,岩手県,陸前高田市,9,9,0
32115,岩手県,釜石市,3,3,0
32158,岩手県,奥州市,5,5,0
32166,岩手県,滝沢市,2,2,0
33031,岩手県,岩手郡岩手町,3,3,0
33219,岩手県,紫波郡紫波町,8,8,0
33227,岩手県,紫波郡矢巾町,5,5,0
34029,岩手県,西磐井郡平泉町,1,1,0
40002,宮城県,,358,358,0
41017,宮城県,仙台市青葉区,41,41,0
41025,宮城県,仙台市宮城野区,35,35,0
41033,宮城県,仙台市若林区,27,27,0
41041,宮城県,仙台市太白区,30,30,0
41050,宮城県,仙台市泉区,41,41,0
42021,宮城県,石巻市,34,34,0
42030,宮城県,塩竈市,10,10,0
42064,宮城県,白石市,7,7,0
42072,宮城県,名取市,26,26,0
42081,宮城県,角田市,1,1,0
42099,宮城県,多賀城市,11,11,0
42111,宮城県,岩沼市,11,11,0
42129,宮城県,登米市,12,12,0
42137,宮城県,栗原市,9,9,0
42145,宮城県,東松島市,3,3,0
42153,宮城県,大崎市,14,14,0
42161,宮城県,富谷市,1,1,0
43214,宮城県,柴田郡大河原町,3,3,0
43222,宮城県,柴田郡村田町,4,4,0
43231,宮城県,柴田郡柴田町,3,3,0
44016,宮城県,宮城郡松島町,3,3,0
44067,宮城県,宮城郡利府町,11,11,0
44211,宮城県,黒川郡大和町,3,3,0
44229,宮城県,黒川郡大郷町,6,6,0
44245,宮城県,黒川郡大衡村,4,4,0
45055,宮城県,遠田郡美里町,3,3,0
45811,宮城県,牡鹿郡女川町,5,5,0
50008,秋田県,,206,206,0
52019,秋田県,秋田市,69,69,0
52027,秋田県,能代市,13,13,0
52035,秋田県,横手市,20,20,0
52043,秋田県,大館市,18,18,0
52060,秋田県,男鹿市,9,9,0
52094,秋田県,鹿角市,9,9,0
52108,秋田県,由利本荘市,3,3,0
52116,秋田県,潟上市,10,10,0
52124,秋田県,大仙市,15,15,0
52132,秋田県,北秋田市,12,12,0
52141,秋田県,にかほ市,5,5,0
52159,秋田県,仙北市,4,4,0
53031,秋田県,鹿角郡小坂町,3,3,0
53481,秋田県,山本郡三種町,5,5,0
53490,秋田県,山本郡八峰町,8,8,0
54348,秋田県,仙北郡美郷町,3,3,0
60003,山形県,,98,98,0
62014,山形県,山形市,58,58,0
62022,山形県,米沢市,6,6,0
62031,山形県,鶴岡市,5,5,0
62073,山形県,上山市,1,1,0
62090,山形県,長井市,5,5,0
62103,山形県,天童市,7,7,0
62120,山形県,尾花沢市,1,1,0
62138,山形県,南陽市,4,4,0
64025,山形県,西置賜郡白鷹町,4,4,0
64033,山形県,西置賜郡飯豊町,2,2,0
64262,山形県,東田川郡三川町,5,5,0
70009,福島県,,266,266,0
72010,福島県,福島市,63,63,0
72028,福島県,会津若松市,15,15,0
72036,福島県,郡山市,70,70,0
72044,福島県,いわき市,73,73,0
72079,福島県,須賀川市,3,3,0
72087,福島県,喜多方市,4,4,0
72095,福島県,相馬市,7,7,0
72109,福島県,二本松市,9,9,0
72117,福島県,田村市,4,4,0
72125,福島県,南相馬市,1,1,0
72133,福島県,伊達市,1,1,0
73423,福島県,岩瀬郡鏡石町,1,1,0
74217,福島県,河沼郡会津坂下町,4,4,0
74811,福島県,東白川郡棚倉町,6,6,0
75019,福島県,石川郡石川町,1,1,0
75213,福島県,田村郡三春町,1,1,0
75221,福島県,田村郡小野町,3,3,0
