団体コード,都道府県名,市区町村名,開設局数
80004,茨城県,,1186
82015,茨城県,水戸市,77
82023,茨城県,日立市,72
82031,茨城県,土浦市,45
82040,茨城県,古河市,43
82058,茨城県,石岡市,37
82074,茨城県,結城市,15
82082,茨城県,龍ケ崎市,21
82104,茨城県,下妻市,15
82112,茨城県,常総市,20
82121,茨城県,常陸太田市,31
82147,茨城県,高萩市,14
82155,茨城県,北茨城市,17
82163,茨城県,笠間市,38
82171,茨城県,取手市,35
82198,茨城県,牛久市,21
82201,茨城県,つくば市,91
82210,茨城県,ひたちなか市,56
82228,茨城県,鹿嶋市,30
82236,茨城県,潮来市,11
82244,茨城県,守谷市,19
82252,茨城県,常陸大宮市,53
82261,茨城県,那珂市,25
82279,茨城県,筑西市,40
82287,茨城県,坂東市,27
82295,茨城県,稲敷市,33
82309,茨城県,かすみがうら市,14
82317,茨城県,桜川市,33
82325,茨城県,神栖市,28
82333,茨城県,行方市,17
82341,茨城県,鉾田市,30
82350,茨城県,つくばみらい市,17
82368,茨城県,小美玉市,33
83020,茨城県,東茨城郡茨城町,21
83097,茨城県,東茨城郡大洗町,8
83101,茨城県,東茨城郡城里町,18
83411,茨城県,那珂郡東海村,12
83640,茨城県,久慈郡大子町,8
84425,茨城県,稲敷郡美浦村,8
84433,茨城県,稲敷郡阿見町,19
84476,茨城県,稲敷郡河内町,4
85219,茨城県,結城郡八千代町,4
85421,茨城県,猿島郡五霞町,6
85464,茨城県,猿島郡境町,15
85642,茨城県,北相馬郡利根町,5
90000,栃木県,,649
92011,栃木県,宇都宮市,140
92029,栃木県,足利市,47
92037,栃木県,栃木市,36
92045,栃木県,佐野市,53
92053,栃木県,鹿沼市,51
92061,栃木県,日光市,27
92088,栃木県,小山市,57
92096,栃木県,真岡市,18
92100,栃木県,大田原市,33
92118,栃木県,矢板市,14
92134,栃木県,那須塩原市,48
92142,栃木県,さくら市,24
92151,栃木県,那須烏山市,11
92169,栃木県,下野市,18
93017,栃木県,河内郡上三川町,10
93424,栃木県,芳賀郡益子町,6
93432,栃木県,芳賀郡茂木町,3
93441,栃木県,芳賀郡市貝町,4
93459,栃木県,芳賀郡芳賀町,4
93611,栃木県,下都賀郡壬生町,9
93645,栃木県,下都賀郡野木町,10
93840,栃木県,塩谷郡塩谷町,1
93866,栃木県,塩谷郡高根沢町,7
94072,栃木県,那須郡那須町,12
94111,栃木県,那須郡那珂川町,6
100005,群馬県,,706
102016,群馬県,前橋市,110
102024,群馬県,高崎市,117
102032,群馬県,桐生市,48
102041,群馬県,伊勢崎市,71
102059,群馬県,太田市,73
102067,群馬県,沼田市,26
102075,群馬県,館林市,23
102083,群馬県,渋川市,22
102091,群馬県,藤岡市,26
102105,群馬県,富岡市,25
102113,群馬県,安中市,32
102121,群馬県,みどり市,25
103446,群馬県,北群馬郡榛東村,9
103454,群馬県,北群馬郡吉岡町,6
103667,群馬県,多野郡上野村,1
103675,群馬県,多野郡神流町,1
103829,群馬県,甘楽郡下仁田町,6
103837,群馬県,甘楽郡南牧村,2
103845,群馬県,甘楽郡甘楽町,4
104213,群馬県,吾妻郡中之条町,8
104256,群馬県,吾妻郡嬬恋村,7
104264,群馬県,吾妻郡草津町,10
104281,群馬県,吾妻郡高山村,1
104299,群馬県,吾妻郡東吾妻町,3
104485,群馬県,利根郡昭和村,2
104493,群馬県,利根郡みなかみ町,5
104647,群馬県,佐波郡玉村町,14
105210,群馬県,邑楽郡板倉町,4
105236,群馬県,邑楽郡千代田町,7
105244,群馬県,邑楽郡大泉町,10
105252,群馬県,邑楽郡邑楽町,8
110001,埼玉県,,2118
111015,埼玉県,さいたま市西区,24
111023,埼玉県,さいたま市北区,49
111031,埼玉県,さいたま市大宮区,59
111040,埼玉県,さいたま市見沼区,48
111058,埼玉県,さいたま市中央区,27
111066,埼玉県,さいたま市桜区,22
111074,埼玉県,さいたま市浦和区,33
111082,埼玉県,さいたま市南区,51
111091,埼玉県,さいたま市緑区,36
111104,埼玉県,さいたま市岩槻区,37
112011,埼玉県,川越市,83
112020,埼玉県,熊谷市,61
112038,埼玉県,川口市,154
112062,埼玉県,行田市,22
112071,埼玉県,秩父市,26
112089,埼玉県,所沢市,72
112097,埼玉県,飯能市,44
112101,埼玉県,加須市,61
112119,埼玉県,本庄市,28
112127,埼玉県,東松山市,29
112143,埼玉県,春日部市,54
112151,埼玉県,狭山市,38
112160,埼玉県,羽生市,18
112178,埼玉県,鴻巣市,28
112186,埼玉県,深谷市,43
112194,埼玉県,上尾市,49
112216,埼玉県,草加市,63
112224,埼玉県,越谷市,114
112232,埼玉県,蕨市,16
112241,埼玉県,戸田市,40
112259,埼玉県,入間市,41
112275,埼玉県,朝霞市,47
112283,埼玉県,志木市,14
112291,埼玉県,和光市,24
112305,埼玉県,新座市,46
112313,埼玉県,桶川市,20
112321,埼玉県,久喜市,37
112330,埼玉県,北本市,14
112348,埼玉県,八潮市,39
112356,埼玉県,富士見市,23
112372,埼玉県,三郷市,32
112381,埼玉県,蓮田市,18
112399,埼玉県,坂戸市,21
112402,埼玉県,幸手市,10
112411,埼玉県,鶴ヶ島市,24
112429,埼玉県,日高市,22
112437,埼玉県,吉川市,13
112453,埼玉県,ふじみ野市,15
112461,埼玉県,白岡市,12
113018,埼玉県,北足立郡伊奈町,12
113247,埼玉県,入間郡三芳町,15
113263,埼玉県,入間郡毛呂山町,24
113271,埼玉県,入間郡越生町,11
113417,埼玉県,比企郡滑川町,11
113425,埼玉県,比企郡嵐山町,9
113433,埼玉県,比企郡小川町,19
113468,埼玉県,比企郡川島町,11
113476,埼玉県,比企郡吉見町,10
113484,埼玉県,比企郡鳩山町,7
113492,埼玉県,比企郡ときがわ町,7
113611,埼玉県,秩父郡横瀬町,8
113620,埼玉県,秩父郡皆野町,8
113638,埼玉県,秩父郡長瀞町,1
113654,埼玉県,秩父郡小鹿野町,5
113697,埼玉県,秩父郡東秩父村,2
113816,埼玉県,児玉郡美里町,9
113859,埼玉県,児玉郡上里町,9
114081,埼玉県,大里郡寄居町,13
114421,埼玉県,南埼玉郡宮代町,9
114642,埼玉県,北葛飾郡杉戸町,10
114651,埼玉県,北葛飾郡松伏町,7
120006,千葉県,,2334
121011,千葉県,千葉市中央区,105
121029,千葉県,千葉市花見川区,59
121037,千葉県,千葉市稲毛区,65
121045,千葉県,千葉市若葉区,74
121053,千葉県,千葉市緑区,48
121061,千葉県,千葉市美浜区,60
122025,千葉県,銚子市,30
122033,千葉県,市川市,150
122041,千葉県,船橋市,204
122050,千葉県,館山市,21
122068,千葉県,木更津市,50
122076,千葉県,松戸市,126
122084,千葉県,野田市,45
122106,千葉県,茂原市,32
122114,千葉県,成田市,73
122122,千葉県,佐倉市,53
122131,千葉県,東金市,33
122157,千葉県,旭市,31
122165,千葉県,習志野市,42
122173,千葉県,柏市,97
122181,千葉県,勝浦市,10
122190,千葉県,市原市,97
122203,千葉県,流山市,39
122211,千葉県,八千代市,59
122220,千葉県,我孫子市,34
122238,千葉県,鴨川市,19
122246,千葉県,鎌ケ谷市,25
122254,千葉県,君津市,42
122262,千葉県,富津市,15
122271,千葉県,浦安市,75
122289,千葉県,四街道市,32
122297,千葉県,袖ケ浦市,29
122301,千葉県,八街市,32
122319,千葉県,印西市,36
122327,千葉県,白井市,17
122335,千葉県,富里市,24
122343,千葉県,南房総市,25
122351,千葉県,匝瑳市,28
122360,千葉県,香取市,42
122378,千葉県,山武市,48
122386,千葉県,いすみ市,23
122394,千葉県,大網白里市,28
123226,千葉県,印旛郡酒々井町,17
123293,千葉県,印旛郡栄町,8
123421,千葉県,香取郡神崎町,7
123471,千葉県,香取郡多古町,5
123498,千葉県,香取郡東庄町,10
124036,千葉県,山武郡九十九里町,7
124095,千葉県,山武郡芝山町,11
124109,千葉県,山武郡横芝光町,20
124214,千葉県,長生郡一宮町,9
124222,千葉県,長生郡睦沢町,5
124231,千葉県,長生郡長生村,7
124249,千葉県,長生郡白子町,5
124265,千葉県,長生郡長柄町,11
124273,千葉県,長生郡長南町,4
124419,千葉県,夷隅郡大多喜町,16
124435,千葉県,夷隅郡御宿町,4
124630,千葉県,安房郡鋸南町,11
130001,東京都,,6380
131016,東京都,千代田区,387
131024,東京都,中央区,264
131032,東京都,港区,436
131041,東京都,新宿区,345
131059,東京都,文京区,157
131067,東京都,台東区,143
131075,東京都,墨田区,102
131083,東京都,江東区,257
131091,東京都,品川区,242
131105,東京都,目黒区,106
131113,東京都,大田区,283
131121,東京都,世田谷区,375
131130,東京都,渋谷区,328
131148,東京都,中野区,126
131156,東京都,杉並区,182
131164,東京都,豊島区,191
131172,東京都,北区,137
131181,東京都,荒川区,73
131199,東京都,板橋区,178
131202,東京都,練馬区,206
131211,東京都,足立区,226
131229,東京都,葛飾区,137
131237,東京都,江戸川区,202
132012,東京都,八王子市,176
132021,東京都,立川市,51
132039,東京都,武蔵野市,35
132047,東京都,三鷹市,64
132055,東京都,青梅市,43
132063,東京都,府中市,64
132071,東京都,昭島市,32
132080,東京都,調布市,49
132098,東京都,町田市,117
132101,東京都,小金井市,46
132110,東京都,小平市,55
132128,東京都,日野市,95
132136,東京都,東村山市,32
132144,東京都,国分寺市,35
132152,東京都,国立市,22
132187,東京都,福生市,10
132195,東京都,狛江市,42
132209,東京都,東大和市,24
132217,東京都,清瀬市,47
132225,東京都,東久留米市,33
132233,東京都,武蔵村山市,20
132241,東京都,多摩市,73
132250,東京都,稲城市,17
132276,東京都,羽村市,13
132284,東京都,あきる野市,23
132292,東京都,西東京市,32
133035,東京都,西多摩郡瑞穂町,12
133051,東京都,西多摩郡日の出町,9
133078,東京都,西多摩郡檜原村,2
133086,東京都,西多摩郡奥多摩町,13
133612,東京都,大島町,2
133621,東京都,利島村,1
133639,東京都,新島村,1
133647,東京都,神津島村,1
134210,東京都,小笠原村,6
140007,神奈川県,,3000
141011,神奈川県,横浜市鶴見区,89
141020,神奈川県,横浜市神奈川区,116
141038,神奈川県,横浜市西区,102
141046,神奈川県,横浜市中区,96
141054,神奈川県,横浜市南区,52
141062,神奈川県,横浜市保土ケ谷区,75
141071,神奈川県,横浜市磯子区,43
141089,神奈川県,横浜市金沢区,85
141097,神奈川県,横浜市港北区,82
141101,神奈川県,横浜市戸塚区,96
141119,神奈川県,横浜市港南区,59
141127,神奈川県,横浜市旭区,85
141135,神奈川県,横浜市緑区,57
141143,神奈川県,横浜市瀬谷区,39
141151,神奈川県,横浜市栄区,37
141160,神奈川県,横浜市泉区,51
141178,神奈川県,横浜市青葉区,80
141186,神奈川県,横浜市都筑区,62
141313,神奈川県,川崎市川崎区,131
141321,神奈川県,川崎市幸区,53
141330,神奈川県,川崎市中原区,58
141348,神奈川県,川崎市高津区,88
141356,神奈川県,川崎市多摩区,50
141364,神奈川県,川崎市宮前区,48
141372,神奈川県,川崎市麻生区,39
141518,神奈川県,相模原市緑区,80
141526,神奈川県,相模原市中央区,51
141534,神奈川県,相模原市南区,70
142018,神奈川県,横須賀市,142
142034,神奈川県,平塚市,54
142042,神奈川県,鎌倉市,87
142051,神奈川県,藤沢市,95
142069,神奈川県,小田原市,58
142077,神奈川県,茅ヶ崎市,65
142085,神奈川県,逗子市,19
142107,神奈川県,三浦市,21
142115,神奈川県,秦野市,57
142123,神奈川県,厚木市,57
