団体コード,都道府県名,市区町村名,開設局数,更新日
131032,東京都,港区,3,2021-06-06
141101,神奈川県,横浜市戸塚区,3,2021-06-06
151017,新潟県,新潟市北区,29,2021-06-06
151025,新潟県,新潟市東区,20,2021-06-06
151033,新潟県,新潟市中央区,40,2021-06-06
151041,新潟県,新潟市江南区,32,2021-06-06
151050,新潟県,新潟市秋葉区,29,2021-06-06
151068,新潟県,新潟市南区,17,2021-06-06
151076,新潟県,新潟市西区,45,2021-06-06
151084,新潟県,新潟市西蒲区,36,2021-06-06
152021,新潟県,長岡市,36,2021-06-06
152048,新潟県,三条市,11,2021-06-06
152056,新潟県,柏崎市,20,2021-06-06
152064,新潟県,新発田市,1,2021-06-06
152081,新潟県,小千谷市,7,2021-06-06
152102,新潟県,十日町市,1,2021-06-06
152111,新潟県,見附市,13,2021-06-06
152137,新潟県,燕市,5,2021-06-06
152161,新潟県,糸魚川市,1,2021-06-06
152188,新潟県,五泉市,3,2021-06-06
152226,新潟県,上越市,10,2021-06-06
152234,新潟県,阿賀野市,3,2021-06-06
153427,新潟県,西蒲原郡弥彦村,1,2021-06-06
153613,新潟県,南蒲原郡田上町,2,2021-06-06
154059,新潟県,三島郡出雲崎町,3,2021-06-06
155047,新潟県,刈羽郡刈羽村,1,2021-06-06
202011,長野県,長野市,36,2021-06-06
202029,長野県,松本市,31,2021-06-06
202037,長野県,上田市,7,2021-06-06
202053,長野県,飯田市,4,2021-06-06
202070,長野県,須坂市,4,2021-06-06
202088,長野県,小諸市,2,2021-06-06
202118,長野県,中野市,1,2021-06-06
202126,長野県,大町市,4,2021-06-06
202134,長野県,飯山市,1,2021-06-06
202151,長野県,塩尻市,8,2021-06-06
202177,長野県,佐久市,2,2021-06-06
202185,長野県,千曲市,10,2021-06-06
202193,長野県,東御市,2,2021-06-06
202207,長野県,安曇野市,6,2021-06-06
203238,長野県,北佐久郡御代田町,1,2021-06-06
203505,長野県,小県郡長和町,3,2021-06-06
203823,長野県,上伊那郡辰野町,2,2021-06-06
203858,長野県,上伊那郡南箕輪村,1,2021-06-06
204030,長野県,下伊那郡高森町,2,2021-06-06
204072,長野県,下伊那郡阿智村,1,2021-06-06
204323,長野県,木曽郡木曽町,2,2021-06-06
204510,長野県,東筑摩郡朝日村,1,2021-06-06
204811,長野県,北安曇郡池田町,2,2021-06-06
204820,長野県,北安曇郡松川村,1,2021-06-06
