団体コード,都道府県名,市区町村名,開設局数
130001,東京都,,3
131032,東京都,港区,3
140007,神奈川県,,3
141101,神奈川県,横浜市戸塚区,3
160008,富山県,,225
162019,富山県,富山市,100
162027,富山県,高岡市,23
162043,富山県,魚津市,7
162051,富山県,氷見市,10
162060,富山県,滑川市,8
162078,富山県,黒部市,6
162086,富山県,砺波市,16
162094,富山県,小矢部市,5
162108,富山県,南砺市,14
162116,富山県,射水市,12
163210,富山県,中新川郡舟橋村,1
163228,富山県,中新川郡上市町,6
163236,富山県,中新川郡立山町,7
163422,富山県,下新川郡入善町,7
163431,富山県,下新川郡朝日町,3
170003,石川県,,259
172014,石川県,金沢市,102
172022,石川県,七尾市,10
172031,石川県,小松市,32
172049,石川県,輪島市,11
172057,石川県,珠洲市,1
172065,石川県,加賀市,17
172073,石川県,羽咋市,7
172090,石川県,かほく市,9
172103,石川県,白山市,23
172111,石川県,能美市,14
172120,石川県,野々市市,9
173240,石川県,能美郡川北町,4
173614,石川県,河北郡津幡町,4
173657,石川県,河北郡内灘町,4
173843,石川県,羽咋郡志賀町,4
173860,石川県,羽咋郡宝達志水町,7
174637,石川県,鳳珠郡能登町,1
180009,福井県,,191
182010,福井県,福井市,79
182028,福井県,敦賀市,8
182044,福井県,小浜市,14
182052,福井県,大野市,12
182061,福井県,勝山市,2
182079,福井県,鯖江市,22
182087,福井県,あわら市,4
182095,福井県,越前市,15
182109,福井県,坂井市,19
183229,福井県,吉田郡永平寺町,5
184047,福井県,南条郡南越前町,1
184233,福井県,丹生郡越前町,1
184420,福井県,三方郡美浜町,1
184811,福井県,大飯郡高浜町,1
185019,福井県,三方上中郡若狭町,7
