団体コード,都道府県名,市区町村名,開設局数,更新日
131032,東京都,港区,3,2021-06-07
141101,神奈川県,横浜市戸塚区,3,2021-06-07
162019,富山県,富山市,90,2021-06-07
162027,富山県,高岡市,9,2021-06-07
162043,富山県,魚津市,1,2021-06-07
162051,富山県,氷見市,3,2021-06-07
162060,富山県,滑川市,2,2021-06-07
162078,富山県,黒部市,2,2021-06-07
162086,富山県,砺波市,11,2021-06-07
162108,富山県,南砺市,6,2021-06-07
162116,富山県,射水市,8,2021-06-07
163228,富山県,中新川郡上市町,3,2021-06-07
163236,富山県,中新川郡立山町,4,2021-06-07
172014,石川県,金沢市,89,2021-06-07
172022,石川県,七尾市,3,2021-06-07
172031,石川県,小松市,30,2021-06-07
172049,石川県,輪島市,1,2021-06-07
172065,石川県,加賀市,4,2021-06-07
172073,石川県,羽咋市,3,2021-06-07
172090,石川県,かほく市,4,2021-06-07
172103,石川県,白山市,18,2021-06-07
172111,石川県,能美市,11,2021-06-07
172120,石川県,野々市市,7,2021-06-07
173614,石川県,河北郡津幡町,3,2021-06-07
173657,石川県,河北郡内灘町,3,2021-06-07
173843,石川県,羽咋郡志賀町,1,2021-06-07
182010,福井県,福井市,68,2021-06-07
182079,福井県,鯖江市,17,2021-06-07
182095,福井県,越前市,9,2021-06-07
182109,福井県,坂井市,13,2021-06-07
184047,福井県,南条郡南越前町,1,2021-06-07
