団体コード,都道府県名,市区町村名,開設局数,更新日
212016,岐阜県,岐阜市,70,2021-06-06
212024,岐阜県,大垣市,30,2021-06-06
212032,岐阜県,高山市,15,2021-06-06
212041,岐阜県,多治見市,38,2021-06-06
212059,岐阜県,関市,24,2021-06-06
212067,岐阜県,中津川市,5,2021-06-06
212075,岐阜県,美濃市,3,2021-06-06
212083,岐阜県,瑞浪市,7,2021-06-06
212091,岐阜県,羽島市,17,2021-06-06
212105,岐阜県,恵那市,9,2021-06-06
212113,岐阜県,美濃加茂市,13,2021-06-06
212121,岐阜県,土岐市,11,2021-06-06
212130,岐阜県,各務原市,29,2021-06-06
212148,岐阜県,可児市,9,2021-06-06
212156,岐阜県,山県市,5,2021-06-06
212164,岐阜県,瑞穂市,2,2021-06-06
212172,岐阜県,飛騨市,2,2021-06-06
212181,岐阜県,本巣市,4,2021-06-06
212199,岐阜県,郡上市,15,2021-06-06
212202,岐阜県,下呂市,3,2021-06-06
213021,岐阜県,羽島郡岐南町,6,2021-06-06
213039,岐阜県,羽島郡笠松町,5,2021-06-06
213616,岐阜県,不破郡垂井町,6,2021-06-06
213624,岐阜県,不破郡関ケ原町,4,2021-06-06
213811,岐阜県,安八郡神戸町,8,2021-06-06
213837,岐阜県,安八郡安八町,8,2021-06-06
215015,岐阜県,加茂郡坂祝町,3,2021-06-06
215210,岐阜県,可児郡御嵩町,9,2021-06-06
221015,静岡県,静岡市葵区,70,2021-06-06
221023,静岡県,静岡市駿河区,41,2021-06-06
221031,静岡県,静岡市清水区,59,2021-06-06
221317,静岡県,浜松市中区,22,2021-06-06
221325,静岡県,浜松市東区,26,2021-06-06
221333,静岡県,浜松市西区,26,2021-06-06
221341,静岡県,浜松市南区,19,2021-06-06
221350,静岡県,浜松市北区,17,2021-06-06
221368,静岡県,浜松市浜北区,5,2021-06-06
221376,静岡県,浜松市天竜区,5,2021-06-06
222038,静岡県,沼津市,44,2021-06-06
222054,静岡県,熱海市,7,2021-06-06
222062,静岡県,三島市,18,2021-06-06
222071,静岡県,富士宮市,16,2021-06-06
222089,静岡県,伊東市,1,2021-06-06
222097,静岡県,島田市,9,2021-06-06
222101,静岡県,富士市,42,2021-06-06
222119,静岡県,磐田市,20,2021-06-06
222127,静岡県,焼津市,32,2021-06-06
222135,静岡県,掛川市,24,2021-06-06
222143,静岡県,藤枝市,19,2021-06-06
222151,静岡県,御殿場市,18,2021-06-06
222160,静岡県,袋井市,7,2021-06-06
222194,静岡県,下田市,3,2021-06-06
222208,静岡県,裾野市,11,2021-06-06
222216,静岡県,湖西市,11,2021-06-06
222224,静岡県,伊豆市,8,2021-06-06
222232,静岡県,御前崎市,15,2021-06-06
222241,静岡県,菊川市,16,2021-06-06
222259,静岡県,伊豆の国市,5,2021-06-06
222267,静岡県,牧之原市,24,2021-06-06
223042,静岡県,賀茂郡南伊豆町,3,2021-06-06
223255,静岡県,田方郡函南町,11,2021-06-06
223417,静岡県,駿東郡清水町,4,2021-06-06
223425,静岡県,駿東郡長泉町,7,2021-06-06
223441,静岡県,駿東郡小山町,7,2021-06-06
224243,静岡県,榛原郡吉田町,9,2021-06-06
224618,静岡県,周智郡森町,1,2021-06-06
231011,愛知県,名古屋市千種区,7,2021-06-06
231029,愛知県,名古屋市東区,6,2021-06-06
231037,愛知県,名古屋市北区,2,2021-06-06
231045,愛知県,名古屋市西区,7,2021-06-06
231053,愛知県,名古屋市中村区,13,2021-06-06
231061,愛知県,名古屋市中区,22,2021-06-06
231070,愛知県,名古屋市昭和区,5,2021-06-06
231088,愛知県,名古屋市瑞穂区,10,2021-06-06
231096,愛知県,名古屋市熱田区,2,2021-06-06
231100,愛知県,名古屋市中川区,7,2021-06-06
231118,愛知県,名古屋市港区,7,2021-06-06
231126,愛知県,名古屋市南区,4,2021-06-06
231134,愛知県,名古屋市守山区,2,2021-06-06
231142,愛知県,名古屋市緑区,12,2021-06-06
231151,愛知県,名古屋市名東区,6,2021-06-06
231169,愛知県,名古屋市天白区,4,2021-06-06
232017,愛知県,豊橋市,61,2021-06-06
232025,愛知県,岡崎市,30,2021-06-06
232033,愛知県,一宮市,70,2021-06-06
232041,愛知県,瀬戸市,38,2021-06-06
232050,愛知県,半田市,17,2021-06-06
232068,愛知県,春日井市,38,2021-06-06
232076,愛知県,豊川市,19,2021-06-06
232084,愛知県,津島市,15,2021-06-06
232092,愛知県,碧南市,22,2021-06-06
232106,愛知県,刈谷市,20,2021-06-06
232114,愛知県,豊田市,80,2021-06-06
232122,愛知県,安城市,31,2021-06-06
232131,愛知県,西尾市,53,2021-06-06
232149,愛知県,蒲郡市,19,2021-06-06
232157,愛知県,犬山市,17,2021-06-06
232165,愛知県,常滑市,18,2021-06-06
232173,愛知県,江南市,16,2021-06-06
232190,愛知県,小牧市,18,2021-06-06
232203,愛知県,稲沢市,27,2021-06-06
232211,愛知県,新城市,19,2021-06-06
232220,愛知県,東海市,16,2021-06-06
232238,愛知県,大府市,25,2021-06-06
232246,愛知県,知多市,14,2021-06-06
232254,愛知県,知立市,10,2021-06-06
232262,愛知県,尾張旭市,12,2021-06-06
232271,愛知県,高浜市,7,2021-06-06
232289,愛知県,岩倉市,9,2021-06-06
232297,愛知県,豊明市,16,2021-06-06
232301,愛知県,日進市,23,2021-06-06
232319,愛知県,田原市,29,2021-06-06
232327,愛知県,愛西市,14,2021-06-06
