団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
210005,岐阜県,,712,713,1
212016,岐阜県,岐阜市,80,81,1
212024,岐阜県,大垣市,44,44,0
212032,岐阜県,高山市,34,34,0
212041,岐阜県,多治見市,41,41,0
212059,岐阜県,関市,43,43,0
212067,岐阜県,中津川市,33,33,0
212075,岐阜県,美濃市,9,9,0
212083,岐阜県,瑞浪市,19,19,0
212091,岐阜県,羽島市,21,21,0
212105,岐阜県,恵那市,23,23,0
212113,岐阜県,美濃加茂市,20,20,0
212121,岐阜県,土岐市,22,22,0
212130,岐阜県,各務原市,38,38,0
212148,岐阜県,可児市,31,31,0
212156,岐阜県,山県市,20,20,0
212164,岐阜県,瑞穂市,5,5,0
212172,岐阜県,飛騨市,9,9,0
212181,岐阜県,本巣市,13,13,0
212199,岐阜県,郡上市,36,36,0
212202,岐阜県,下呂市,31,31,0
212211,岐阜県,海津市,12,12,0
213021,岐阜県,羽島郡岐南町,7,7,0
213039,岐阜県,羽島郡笠松町,7,7,0
213411,岐阜県,養老郡養老町,8,8,0
213616,岐阜県,不破郡垂井町,8,8,0
213624,岐阜県,不破郡関ケ原町,6,6,0
213811,岐阜県,安八郡神戸町,10,10,0
213829,岐阜県,安八郡輪之内町,2,2,0
213837,岐阜県,安八郡安八町,8,8,0
214019,岐阜県,揖斐郡揖斐川町,7,7,0
214035,岐阜県,揖斐郡大野町,6,6,0
214043,岐阜県,揖斐郡池田町,5,5,0
214213,岐阜県,本巣郡北方町,2,2,0
215015,岐阜県,加茂郡坂祝町,5,5,0
215023,岐阜県,加茂郡富加町,2,2,0
215031,岐阜県,加茂郡川辺町,6,6,0
215040,岐阜県,加茂郡七宗町,4,4,0
215058,岐阜県,加茂郡八百津町,8,8,0
215066,岐阜県,加茂郡白川町,12,12,0
215074,岐阜県,加茂郡東白川村,3,3,0
215210,岐阜県,可児郡御嵩町,10,10,0
216046,岐阜県,大野郡白川村,2,2,0
220001,静岡県,,1183,1187,4
221015,静岡県,静岡市葵区,81,81,0
221023,静岡県,静岡市駿河区,52,52,0
221031,静岡県,静岡市清水区,83,84,1
221317,静岡県,浜松市中区,41,41,0
221325,静岡県,浜松市東区,34,34,0
221333,静岡県,浜松市西区,35,35,0
221341,静岡県,浜松市南区,25,25,0
221350,静岡県,浜松市北区,37,39,2
221368,静岡県,浜松市浜北区,24,24,0
221376,静岡県,浜松市天竜区,22,22,0
222038,静岡県,沼津市,52,53,1
222054,静岡県,熱海市,10,10,0
222062,静岡県,三島市,26,26,0
222071,静岡県,富士宮市,29,29,0
222089,静岡県,伊東市,17,17,0
222097,静岡県,島田市,30,30,0
222101,静岡県,富士市,62,62,0
222119,静岡県,磐田市,38,38,0
222127,静岡県,焼津市,45,45,0
222135,静岡県,掛川市,51,51,0
222143,静岡県,藤枝市,44,44,0
222151,静岡県,御殿場市,31,31,0
222160,静岡県,袋井市,32,32,0
222194,静岡県,下田市,11,11,0
222208,静岡県,裾野市,14,14,0
