団体コード,都道府県名,市区町村名,開設局数
130001,東京都,,2691
131032,東京都,港区,2691
140007,神奈川県,,6932
141101,神奈川県,横浜市戸塚区,6932
250007,滋賀県,,560
252018,滋賀県,大津市,100
252026,滋賀県,彦根市,35
252034,滋賀県,長浜市,66
252042,滋賀県,近江八幡市,38
252069,滋賀県,草津市,41
252077,滋賀県,守山市,26
252085,滋賀県,栗東市,18
252093,滋賀県,甲賀市,37
252107,滋賀県,野洲市,23
252115,滋賀県,湖南市,30
252123,滋賀県,高島市,25
252131,滋賀県,東近江市,47
252140,滋賀県,米原市,24
253839,滋賀県,蒲生郡日野町,15
253847,滋賀県,蒲生郡竜王町,10
254258,滋賀県,愛知郡愛荘町,7
254410,滋賀県,犬上郡豊郷町,5
254428,滋賀県,犬上郡甲良町,6
254436,滋賀県,犬上郡多賀町,7
260002,京都府,,822
261017,京都府,京都市北区,41
261025,京都府,京都市上京区,23
261033,京都府,京都市左京区,57
261041,京都府,京都市中京区,38
261050,京都府,京都市東山区,34
261068,京都府,京都市下京区,38
261076,京都府,京都市南区,42
261084,京都府,京都市右京区,57
261092,京都府,京都市伏見区,70
261106,京都府,京都市山科区,36
261114,京都府,京都市西京区,43
262013,京都府,福知山市,39
262021,京都府,舞鶴市,30
262030,京都府,綾部市,13
262048,京都府,宇治市,32
262056,京都府,宮津市,11
262064,京都府,亀岡市,23
262072,京都府,城陽市,19
262081,京都府,向日市,16
262099,京都府,長岡京市,21
262102,京都府,八幡市,20
262111,京都府,京田辺市,15
262129,京都府,京丹後市,16
262137,京都府,南丹市,16
262145,京都府,木津川市,21
263036,京都府,乙訓郡大山崎町,6
263222,京都府,久世郡久御山町,10
263435,京都府,綴喜郡井手町,4
263443,京都府,綴喜郡宇治田原町,7
263648,京都府,相楽郡笠置町,2
263656,京都府,相楽郡和束町,2
263664,京都府,相楽郡精華町,5
264075,京都府,船井郡京丹波町,4
264636,京都府,与謝郡伊根町,1
264652,京都府,与謝郡与謝野町,10
270008,大阪府,,2512
271021,大阪府,大阪市都島区,29
271039,大阪府,大阪市福島区,34
271047,大阪府,大阪市此花区,42
271063,大阪府,大阪市西区,62
271071,大阪府,大阪市港区,29
271080,大阪府,大阪市大正区,19
271098,大阪府,大阪市天王寺区,33
271110,大阪府,大阪市浪速区,39
271136,大阪府,大阪市西淀川区,31
271144,大阪府,大阪市東淀川区,43
271152,大阪府,大阪市東成区,18
271161,大阪府,大阪市生野区,26
271179,大阪府,大阪市旭区,23
271187,大阪府,大阪市城東区,30
271195,大阪府,大阪市阿倍野区,34
271209,大阪府,大阪市住吉区,29
271217,大阪府,大阪市東住吉区,27
271225,大阪府,大阪市西成区,31
271233,大阪府,大阪市淀川区,56
271241,大阪府,大阪市鶴見区,20
271250,大阪府,大阪市住之江区,44
271268,大阪府,大阪市平野区,36
271276,大阪府,大阪市北区,125
271284,大阪府,大阪市中央区,164
271411,大阪府,堺市堺区,41
271420,大阪府,堺市中区,31
271438,大阪府,堺市東区,15
271446,大阪府,堺市西区,38
271454,大阪府,堺市南区,39
271462,大阪府,堺市北区,29
271471,大阪府,堺市美原区,10
272027,大阪府,岸和田市,52
272035,大阪府,豊中市,75
272043,大阪府,池田市,24
272051,大阪府,吹田市,71
272060,大阪府,泉大津市,23
272078,大阪府,高槻市,83
272086,大阪府,貝塚市,29
272094,大阪府,守口市,26
272108,大阪府,枚方市,66
272116,大阪府,茨木市,65
272124,大阪府,八尾市,54
272132,大阪府,泉佐野市,31
272141,大阪府,富田林市,27
272159,大阪府,寝屋川市,47
272167,大阪府,河内長野市,45
272175,大阪府,松原市,22
272183,大阪府,大東市,19
272191,大阪府,和泉市,59
272205,大阪府,箕面市,30
272213,大阪府,柏原市,21
272221,大阪府,羽曳野市,34
272230,大阪府,門真市,28
272248,大阪府,摂津市,20
272256,大阪府,高石市,14
272264,大阪府,藤井寺市,11
272272,大阪府,東大阪市,108
272281,大阪府,泉南市,25
272299,大阪府,四條畷市,14
272302,大阪府,交野市,20
272311,大阪府,大阪狭山市,18
272329,大阪府,阪南市,18
273015,大阪府,三島郡島本町,8
273210,大阪府,豊能郡豊能町,15
