団体コード,都道府県名,市区町村名,開設局数
131032,東京都,港区,2619
141101,神奈川県,横浜市戸塚区,3169
252018,滋賀県,大津市,39
252026,滋賀県,彦根市,21
252034,滋賀県,長浜市,1
252042,滋賀県,近江八幡市,22
252069,滋賀県,草津市,11
252077,滋賀県,守山市,13
252085,滋賀県,栗東市,6
252093,滋賀県,甲賀市,3
252107,滋賀県,野洲市,14
252115,滋賀県,湖南市,9
252123,滋賀県,高島市,1
252131,滋賀県,東近江市,23
254258,滋賀県,愛知郡愛荘町,1
261017,京都府,京都市北区,24
261025,京都府,京都市上京区,19
261033,京都府,京都市左京区,30
261041,京都府,京都市中京区,30
261050,京都府,京都市東山区,31
261068,京都府,京都市下京区,29
261076,京都府,京都市南区,26
261084,京都府,京都市右京区,32
261092,京都府,京都市伏見区,29
261106,京都府,京都市山科区,18
261114,京都府,京都市西京区,24
262013,京都府,福知山市,17
262021,京都府,舞鶴市,21
262048,京都府,宇治市,3
262064,京都府,亀岡市,4
262072,京都府,城陽市,8
262081,京都府,向日市,5
262099,京都府,長岡京市,8
262102,京都府,八幡市,4
262111,京都府,京田辺市,5
262145,京都府,木津川市,3
263036,京都府,乙訓郡大山崎町,2
263222,京都府,久世郡久御山町,3
271021,大阪府,大阪市都島区,22
271039,大阪府,大阪市福島区,26
271047,大阪府,大阪市此花区,28
271063,大阪府,大阪市西区,43
271071,大阪府,大阪市港区,17
271080,大阪府,大阪市大正区,13
271098,大阪府,大阪市天王寺区,21
271110,大阪府,大阪市浪速区,31
271136,大阪府,大阪市西淀川区,24
271144,大阪府,大阪市東淀川区,32
271152,大阪府,大阪市東成区,18
271161,大阪府,大阪市生野区,25
271179,大阪府,大阪市旭区,14
271187,大阪府,大阪市城東区,22
271195,大阪府,大阪市阿倍野区,24
271209,大阪府,大阪市住吉区,26
271217,大阪府,大阪市東住吉区,21
271225,大阪府,大阪市西成区,19
271233,大阪府,大阪市淀川区,45
271241,大阪府,大阪市鶴見区,19
271250,大阪府,大阪市住之江区,32
271268,大阪府,大阪市平野区,31
271276,大阪府,大阪市北区,96
271284,大阪府,大阪市中央区,119
271411,大阪府,堺市堺区,33
271420,大阪府,堺市中区,21
271438,大阪府,堺市東区,14
271446,大阪府,堺市西区,25
271454,大阪府,堺市南区,17
271462,大阪府,堺市北区,24
271471,大阪府,堺市美原区,7
272027,大阪府,岸和田市,27
272035,大阪府,豊中市,15
272043,大阪府,池田市,8
272051,大阪府,吹田市,40
272060,大阪府,泉大津市,10
272078,大阪府,高槻市,53
272086,大阪府,貝塚市,11
272094,大阪府,守口市,16
272108,大阪府,枚方市,24
272116,大阪府,茨木市,43
272124,大阪府,八尾市,34
272132,大阪府,泉佐野市,16
272141,大阪府,富田林市,11
272159,大阪府,寝屋川市,30
272167,大阪府,河内長野市,15
272175,大阪府,松原市,14
272183,大阪府,大東市,10
272191,大阪府,和泉市,15
272205,大阪府,箕面市,14
272213,大阪府,柏原市,11
272221,大阪府,羽曳野市,16
272230,大阪府,門真市,18
272248,大阪府,摂津市,7
272256,大阪府,高石市,6
272264,大阪府,藤井寺市,3
272272,大阪府,東大阪市,90
272281,大阪府,泉南市,9
272299,大阪府,四條畷市,8
272302,大阪府,交野市,14
272311,大阪府,大阪狭山市,8
273210,大阪府,豊能郡豊能町,1
273414,大阪府,泉北郡忠岡町,1
273619,大阪府,泉南郡熊取町,8
273813,大阪府,南河内郡太子町,1
273821,大阪府,南河内郡河南町,2
281018,兵庫県,神戸市東灘区,63
281026,兵庫県,神戸市灘区,41
281051,兵庫県,神戸市兵庫区,29
281069,兵庫県,神戸市長田区,16
281077,兵庫県,神戸市須磨区,14
281085,兵庫県,神戸市垂水区,16
281093,兵庫県,神戸市北区,34
281107,兵庫県,神戸市中央区,68
281115,兵庫県,神戸市西区,28
282014,兵庫県,姫路市,94
282022,兵庫県,尼崎市,97
282031,兵庫県,明石市,10
282049,兵庫県,西宮市,163
282065,兵庫県,芦屋市,20
282073,兵庫県,伊丹市,32
282090,兵庫県,豊岡市,8
282103,兵庫県,加古川市,20
282146,兵庫県,宝塚市,48
282162,兵庫県,高砂市,8
282171,兵庫県,川西市,25
282189,兵庫県,小野市,5
282197,兵庫県,三田市,1
282294,兵庫県,たつの市,13
283011,兵庫県,川辺郡猪名川町,2
283819,兵庫県,加古郡稲美町,10
283827,兵庫県,加古郡播磨町,4
284645,兵庫県,揖保郡太子町,8
292010,奈良県,奈良市,52
292028,奈良県,大和高田市,13
292036,奈良県,大和郡山市,18
292044,奈良県,天理市,13
292052,奈良県,橿原市,25
292061,奈良県,桜井市,10
292079,奈良県,五條市,10
292087,奈良県,御所市,2
292095,奈良県,生駒市,19
292109,奈良県,香芝市,9
292125,奈良県,宇陀市,1
293431,奈良県,生駒郡三郷町,1
293440,奈良県,生駒郡斑鳩町,1
294241,奈良県,北葛城郡上牧町,4
294250,奈良県,北葛城郡王寺町,1
294411,奈良県,吉野郡吉野町,1
294420,奈良県,吉野郡大淀町,7
302015,和歌山県,和歌山市,36
302023,和歌山県,海南市,1
302058,和歌山県,御坊市,2
302066,和歌山県,田辺市,3
303917,和歌山県,日高郡みなべ町,1
304018,和歌山県,西牟婁郡白浜町,6
304042,和歌山県,西牟婁郡上富田町,5
