団体コード,都道府県名,市区町村名,開設局数
310000,鳥取県,,289
312011,鳥取県,鳥取市,92
312029,鳥取県,米子市,49
312037,鳥取県,倉吉市,23
312045,鳥取県,境港市,12
313025,鳥取県,岩美郡岩美町,6
313254,鳥取県,八頭郡若桜町,4
313289,鳥取県,八頭郡智頭町,8
313297,鳥取県,八頭郡八頭町,8
313645,鳥取県,東伯郡三朝町,6
313700,鳥取県,東伯郡湯梨浜町,8
313718,鳥取県,東伯郡琴浦町,10
313726,鳥取県,東伯郡北栄町,9
313840,鳥取県,西伯郡日吉津村,2
313866,鳥取県,西伯郡大山町,13
313891,鳥取県,西伯郡南部町,9
313904,鳥取県,西伯郡伯耆町,15
314013,鳥取県,日野郡日南町,6
314021,鳥取県,日野郡日野町,8
314030,鳥取県,日野郡江府町,1
320005,島根県,,540
322016,島根県,松江市,111
322024,島根県,浜田市,37
322032,島根県,出雲市,74
322041,島根県,益田市,53
322059,島根県,大田市,44
322067,島根県,安来市,34
322075,島根県,江津市,27
322091,島根県,雲南市,30
323438,島根県,仁多郡奥出雲町,16
323861,島根県,飯石郡飯南町,7
324418,島根県,邑智郡川本町,24
324485,島根県,邑智郡美郷町,15
324493,島根県,邑智郡邑南町,9
325015,島根県,鹿足郡津和野町,45
325058,島根県,鹿足郡吉賀町,4
325287,島根県,隠岐郡隠岐の島町,10
330001,岡山県,,764
331015,岡山県,岡山市北区,73
331023,岡山県,岡山市中区,28
331031,岡山県,岡山市東区,40
331040,岡山県,岡山市南区,31
332020,岡山県,倉敷市,156
332038,岡山県,津山市,49
332046,岡山県,玉野市,36
332054,岡山県,笠岡市,33
332071,岡山県,井原市,23
332089,岡山県,総社市,45
332097,岡山県,高梁市,10
332101,岡山県,新見市,13
332119,岡山県,備前市,30
332127,岡山県,瀬戸内市,19
332135,岡山県,赤磐市,15
332143,岡山県,真庭市,36
332151,岡山県,美作市,22
332160,岡山県,浅口市,21
333468,岡山県,和気郡和気町,7
334235,岡山県,都窪郡早島町,5
334456,岡山県,浅口郡里庄町,7
334618,岡山県,小田郡矢掛町,12
336068,岡山県,苫田郡鏡野町,16
336220,岡山県,勝田郡勝央町,12
336238,岡山県,勝田郡奈義町,4
336432,岡山県,英田郡西粟倉村,3
336637,岡山県,久米郡久米南町,1
336661,岡山県,久米郡美咲町,11
336815,岡山県,加賀郡吉備中央町,6
340006,広島県,,893
341011,広島県,広島市中区,38
341029,広島県,広島市東区,23
341037,広島県,広島市南区,24
341045,広島県,広島市西区,18
341053,広島県,広島市安佐南区,38
341061,広島県,広島市安佐北区,51
341070,広島県,広島市安芸区,16
341088,広島県,広島市佐伯区,40
342025,広島県,呉市,61
342033,広島県,竹原市,15
342041,広島県,三原市,36
342050,広島県,尾道市,45
342076,広島県,福山市,130
342084,広島県,府中市,4
342092,広島県,三次市,48
342106,広島県,庄原市,72
342114,広島県,大竹市,3
342122,広島県,東広島市,71
342131,広島県,廿日市市,30
342149,広島県,安芸高田市,24
342157,広島県,江田島市,27
343021,広島県,安芸郡府中町,5
343048,広島県,安芸郡海田町,6
343072,広島県,安芸郡熊野町,10
343099,広島県,安芸郡坂町,3
343684,広島県,山県郡安芸太田町,12
343692,広島県,山県郡北広島町,23
344311,広島県,豊田郡大崎上島町,5
344621,広島県,世羅郡世羅町,8
345458,広島県,神石郡神石高原町,7
350001,山口県,,686
352012,山口県,下関市,101
352021,山口県,宇部市,64
352039,山口県,山口市,87
352047,山口県,萩市,64
352063,山口県,防府市,35
352071,山口県,下松市,17
352080,山口県,岩国市,73
352101,山口県,光市,17
352110,山口県,長門市,41
352128,山口県,柳井市,19
352136,山口県,美祢市,20
352152,山口県,周南市,69
352161,山口県,山陽小野田市,32
353051,山口県,大島郡周防大島町,15
353213,山口県,玖珂郡和木町,2
353418,山口県,熊毛郡上関町,6
353434,山口県,熊毛郡田布施町,7
353442,山口県,熊毛郡平生町,9
355020,山口県,阿武郡阿武町,8
