団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
310000,鳥取県,,197,199,2
312011,鳥取県,鳥取市,74,74,0
312029,鳥取県,米子市,39,39,0
312037,鳥取県,倉吉市,15,15,0
312045,鳥取県,境港市,3,3,0
313025,鳥取県,岩美郡岩美町,3,3,0
313254,鳥取県,八頭郡若桜町,1,1,0
313289,鳥取県,八頭郡智頭町,7,7,0
313297,鳥取県,八頭郡八頭町,7,7,0
313645,鳥取県,東伯郡三朝町,5,5,0
313700,鳥取県,東伯郡湯梨浜町,6,6,0
313718,鳥取県,東伯郡琴浦町,6,7,1
313726,鳥取県,東伯郡北栄町,6,6,0
313840,鳥取県,西伯郡日吉津村,2,2,0
313866,鳥取県,西伯郡大山町,6,6,0
313891,鳥取県,西伯郡南部町,5,5,0
313904,鳥取県,西伯郡伯耆町,7,7,0
314013,鳥取県,日野郡日南町,2,2,0
314021,鳥取県,日野郡日野町,2,3,1
314030,鳥取県,日野郡江府町,1,1,0
320005,島根県,,268,273,5
322016,島根県,松江市,75,76,1
322024,島根県,浜田市,26,27,1
322032,島根県,出雲市,40,42,2
322041,島根県,益田市,27,27,0
322059,島根県,大田市,23,23,0
322067,島根県,安来市,18,18,0
322075,島根県,江津市,14,14,0
322091,島根県,雲南市,18,18,0
323438,島根県,仁多郡奥出雲町,10,10,0
324418,島根県,邑智郡川本町,1,1,0
324485,島根県,邑智郡美郷町,3,3,0
324493,島根県,邑智郡邑南町,4,4,0
325015,島根県,鹿足郡津和野町,6,7,1
325058,島根県,鹿足郡吉賀町,3,3,0
330001,岡山県,,524,529,5
331015,岡山県,岡山市北区,72,73,1
331023,岡山県,岡山市中区,20,20,0
331031,岡山県,岡山市東区,37,37,0
331040,岡山県,岡山市南区,27,27,0
332020,岡山県,倉敷市,128,128,0
332038,岡山県,津山市,19,21,2
332046,岡山県,玉野市,19,19,0
332054,岡山県,笠岡市,20,20,0
332071,岡山県,井原市,9,9,0
332089,岡山県,総社市,28,28,0
332097,岡山県,高梁市,6,6,0
332101,岡山県,新見市,8,9,1
332119,岡山県,備前市,12,12,0
332127,岡山県,瀬戸内市,10,10,0
332143,岡山県,真庭市,30,30,0
332151,岡山県,美作市,16,16,0
332160,岡山県,浅口市,14,14,0
333468,岡山県,和気郡和気町,4,4,0
334235,岡山県,都窪郡早島町,4,4,0
334618,岡山県,小田郡矢掛町,10,10,0
336068,岡山県,苫田郡鏡野町,9,9,0
336220,岡山県,勝田郡勝央町,8,8,0
336238,岡山県,勝田郡奈義町,3,3,0
336432,岡山県,英田郡西粟倉村,1,1,0
336661,岡山県,久米郡美咲町,8,8,0
336815,岡山県,加賀郡吉備中央町,2,3,1
340006,広島県,,528,533,5
341011,広島県,広島市中区,20,20,0
341029,広島県,広島市東区,18,18,0
341037,広島県,広島市南区,18,18,0
341045,広島県,広島市西区,14,14,0
341053,広島県,広島市安佐南区,25,25,0
341061,広島県,広島市安佐北区,44,44,0
341070,広島県,広島市安芸区,15,15,0
341088,広島県,広島市佐伯区,32,32,0
342025,広島県,呉市,45,45,0
342033,広島県,竹原市,7,7,0
342041,広島県,三原市,25,25,0
342050,広島県,尾道市,30,30,0
342076,広島県,福山市,116,117,1
342084,広島県,府中市,3,3,0
342092,広島県,三次市,17,18,1
342106,広島県,庄原市,7,7,0
342122,広島県,東広島市,31,31,0
342131,広島県,廿日市市,16,18,2
342149,広島県,安芸高田市,7,7,0
342157,広島県,江田島市,19,20,1
343021,広島県,安芸郡府中町,2,2,0
343048,広島県,安芸郡海田町,3,3,0
343072,広島県,安芸郡熊野町,5,5,0
343099,広島県,安芸郡坂町,1,1,0
343692,広島県,山県郡北広島町,3,3,0
344311,広島県,豊田郡大崎上島町,3,3,0
344621,広島県,世羅郡世羅町,2,2,0
350001,山口県,,384,385,1
352012,山口県,下関市,76,76,0
352021,山口県,宇部市,53,53,0
352039,山口県,山口市,63,63,0
352047,山口県,萩市,17,17,0
352063,山口県,防府市,31,31,0
352071,山口県,下松市,5,5,0
352080,山口県,岩国市,34,34,0
352101,山口県,光市,10,10,0
352110,山口県,長門市,8,8,0
352128,山口県,柳井市,12,12,0
352136,山口県,美祢市,1,1,0
352152,山口県,周南市,24,24,0
352161,山口県,山陽小野田市,20,20,0
353051,山口県,大島郡周防大島町,14,15,1
353213,山口県,玖珂郡和木町,1,1,0
353418,山口県,熊毛郡上関町,1,1,0
353434,山口県,熊毛郡田布施町,5,5,0
353442,山口県,熊毛郡平生町,7,7,0
355020,山口県,阿武郡阿武町,2,2,0
