団体コード,都道府県名,市区町村名,開設局数
362018,徳島県,徳島市,36
362034,徳島県,小松島市,4
362042,徳島県,阿南市,6
362069,徳島県,阿波市,3
362077,徳島県,美馬市,2
363014,徳島県,勝浦郡勝浦町,1
364029,徳島県,板野郡北島町,1
364045,徳島県,板野郡板野町,1
364053,徳島県,板野郡上板町,1
364681,徳島県,美馬郡つるぎ町,1
372013,香川県,高松市,63
372021,香川県,丸亀市,5
372048,香川県,善通寺市,6
372064,香川県,さぬき市,2
372081,香川県,三豊市,10
373222,香川県,小豆郡土庄町,1
373249,香川県,小豆郡小豆島町,2
373877,香川県,綾歌郡綾川町,3
374032,香川県,仲多度郡琴平町,1
374067,香川県,仲多度郡まんのう町,3
382019,愛媛県,松山市,92
382027,愛媛県,今治市,2
382035,愛媛県,宇和島市,6
382043,愛媛県,八幡浜市,3
382051,愛媛県,新居浜市,17
382060,愛媛県,西条市,3
382078,愛媛県,大洲市,2
382108,愛媛県,伊予市,7
382132,愛媛県,四国中央市,11
382141,愛媛県,西予市,2
385069,愛媛県,南宇和郡愛南町,4
392014,高知県,高知市,46
392049,高知県,南国市,2
392111,高知県,香南市,2
