団体コード,都道府県名,市区町村名,開設局数
131032,東京都,港区,6
141101,神奈川県,横浜市戸塚区,6
401013,福岡県,北九州市門司区,20
401030,福岡県,北九州市若松区,22
401056,福岡県,北九州市戸畑区,10
401064,福岡県,北九州市小倉北区,21
401072,福岡県,北九州市小倉南区,33
401081,福岡県,北九州市八幡東区,14
401099,福岡県,北九州市八幡西区,45
401315,福岡県,福岡市東区,34
401323,福岡県,福岡市博多区,57
401331,福岡県,福岡市中央区,26
401340,福岡県,福岡市南区,16
401358,福岡県,福岡市西区,20
401366,福岡県,福岡市城南区,8
401374,福岡県,福岡市早良区,21
402028,福岡県,大牟田市,13
402036,福岡県,久留米市,39
402044,福岡県,直方市,13
402052,福岡県,飯塚市,37
402061,福岡県,田川市,7
402109,福岡県,八女市,9
402117,福岡県,筑後市,1
402125,福岡県,大川市,1
402133,福岡県,行橋市,12
402141,福岡県,豊前市,8
402150,福岡県,中間市,5
402168,福岡県,小郡市,7
402176,福岡県,筑紫野市,4
402184,福岡県,春日市,4
402192,福岡県,大野城市,10
402206,福岡県,宗像市,27
402214,福岡県,太宰府市,6
402231,福岡県,古賀市,12
402265,福岡県,宮若市,2
402273,福岡県,嘉麻市,6
402281,福岡県,朝倉市,7
402290,福岡県,みやま市,1
402303,福岡県,糸島市,10
402311,福岡県,那珂川市,4
403415,福岡県,糟屋郡宇美町,3
403423,福岡県,糟屋郡篠栗町,3
403431,福岡県,糟屋郡志免町,2
403440,福岡県,糟屋郡須恵町,2
403458,福岡県,糟屋郡新宮町,2
403491,福岡県,糟屋郡粕屋町,4
403814,福岡県,遠賀郡芦屋町,2
403822,福岡県,遠賀郡水巻町,3
403831,福岡県,遠賀郡岡垣町,3
403849,福岡県,遠賀郡遠賀町,1
404021,福岡県,鞍手郡鞍手町,3
404217,福岡県,嘉穂郡桂川町,3
404471,福岡県,朝倉郡筑前町,3
405035,福岡県,三井郡大刀洗町,5
406015,福岡県,田川郡香春町,5
406040,福岡県,田川郡糸田町,1
406058,福岡県,田川郡川崎町,1
406082,福岡県,田川郡大任町,2
406091,福岡県,田川郡赤村,2
406104,福岡県,田川郡福智町,3
406210,福岡県,京都郡苅田町,1
406473,福岡県,築上郡築上町,1
412015,佐賀県,佐賀市,36
412023,佐賀県,唐津市,4
412031,佐賀県,鳥栖市,6
412058,佐賀県,伊万里市,11
412066,佐賀県,武雄市,1
412074,佐賀県,鹿島市,2
412082,佐賀県,小城市,3
412091,佐賀県,嬉野市,7
413411,佐賀県,三養基郡基山町,4
413461,佐賀県,三養基郡みやき町,1
414018,佐賀県,西松浦郡有田町,3
414239,佐賀県,杵島郡大町町,1
422011,長崎県,長崎市,33
422029,長崎県,佐世保市,20
422045,長崎県,諫早市,4
422053,長崎県,大村市,10
422070,長崎県,平戸市,1
422126,長崎県,西海市,2
422134,長崎県,雲仙市,2
422142,長崎県,南島原市,1
423076,長崎県,西彼杵郡長与町,2
423084,長崎県,西彼杵郡時津町,1
423211,長崎県,東彼杵郡東彼杵町,4
423912,長崎県,北松浦郡佐々町,4
431010,熊本県,熊本市中央区,25
431028,熊本県,熊本市東区,17
431036,熊本県,熊本市西区,11
431044,熊本県,熊本市南区,11
431052,熊本県,熊本市北区,16
432024,熊本県,八代市,17
432032,熊本県,人吉市,1
432041,熊本県,荒尾市,12
432067,熊本県,玉名市,1
432083,熊本県,山鹿市,5
432113,熊本県,宇土市,1
432130,熊本県,宇城市,2
432164,熊本県,合志市,2
433675,熊本県,玉名郡南関町,2
433683,熊本県,玉名郡長洲町,2
434043,熊本県,菊池郡菊陽町,2
434434,熊本県,上益城郡益城町,3
434680,熊本県,八代郡氷川町,1
442011,大分県,大分市,51
442020,大分県,別府市,17
442038,大分県,中津市,12
442046,大分県,日田市,16
442054,大分県,佐伯市,2
442101,大分県,杵築市,5
442135,大分県,由布市,2
442143,大分県,国東市,1
443417,大分県,速見郡日出町,2
444626,大分県,玖珠郡玖珠町,1
452017,宮崎県,宮崎市,58
452025,宮崎県,都城市,29
452033,宮崎県,延岡市,5
452041,宮崎県,日南市,3
452068,宮崎県,日向市,19
453820,宮崎県,東諸県郡国富町,4
454010,宮崎県,児湯郡高鍋町,4
454028,宮崎県,児湯郡新富町,1
462012,鹿児島県,鹿児島市,80
462047,鹿児島県,枕崎市,3
462063,鹿児島県,阿久根市,3
462101,鹿児島県,指宿市,2
462152,鹿児島県,薩摩川内市,1
462161,鹿児島県,日置市,6
462187,鹿児島県,霧島市,5
462195,鹿児島県,いちき串木野市,1
462233,鹿児島県,南九州市,2
464040,鹿児島県,出水郡長島町,1
