団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
470007,沖縄県,,114,118,4
472018,沖縄県,那覇市,44,44,0
472051,沖縄県,宜野湾市,3,4,1
472077,沖縄県,石垣市,1,1,0
472085,沖縄県,浦添市,15,15,0
472093,沖縄県,名護市,12,12,0
472107,沖縄県,糸満市,3,3,0
472115,沖縄県,沖縄市,11,11,0
472123,沖縄県,豊見城市,1,1,0
472131,沖縄県,うるま市,6,7,1
472140,沖縄県,宮古島市,3,4,1
473014,沖縄県,国頭郡国頭村,2,2,0
473065,沖縄県,国頭郡今帰仁村,1,1,0
473081,沖縄県,国頭郡本部町,3,3,0
473111,沖縄県,国頭郡恩納村,1,1,0
473243,沖縄県,中頭郡読谷村,1,1,0
473251,沖縄県,中頭郡嘉手納町,0,1,1
473278,沖縄県,中頭郡北中城村,1,1,0
473294,沖縄県,中頭郡西原町,1,1,0
473481,沖縄県,島尻郡与那原町,1,1,0
473502,沖縄県,島尻郡南風原町,2,2,0
473626,沖縄県,島尻郡八重瀬町,2,2,0
