団体コード,都道府県名,市区町村名,開設局数
10006,北海道,,1239
11011,北海道,札幌市中央区,13
11029,北海道,札幌市北区,4
11037,北海道,札幌市東区,4
11045,北海道,札幌市白石区,6
11053,北海道,札幌市豊平区,7
11061,北海道,札幌市南区,11
11070,北海道,札幌市西区,1
11088,北海道,札幌市厚別区,17
11096,北海道,札幌市手稲区,3
11100,北海道,札幌市清田区,5
12025,北海道,函館市,71
12033,北海道,小樽市,27
12041,北海道,旭川市,51
12050,北海道,室蘭市,32
12068,北海道,釧路市,38
12076,北海道,帯広市,36
12084,北海道,北見市,28
12092,北海道,夕張市,5
12106,北海道,岩見沢市,25
12114,北海道,網走市,16
12122,北海道,留萌市,8
12131,北海道,苫小牧市,59
12149,北海道,稚内市,15
12157,北海道,美唄市,1
12165,北海道,芦別市,2
12173,北海道,江別市,23
12181,北海道,赤平市,5
12190,北海道,紋別市,13
12203,北海道,士別市,11
12211,北海道,名寄市,8
12220,北海道,三笠市,6
12238,北海道,根室市,11
12246,北海道,千歳市,38
12254,北海道,滝川市,10
12262,北海道,砂川市,8
12271,北海道,歌志内市,4
12289,北海道,深川市,5
12297,北海道,富良野市,10
12301,北海道,登別市,24
12319,北海道,恵庭市,22
12335,北海道,伊達市,9
12343,北海道,北広島市,29
12351,北海道,石狩市,16
12360,北海道,北斗市,18
13030,北海道,石狩郡当別町,7
13048,北海道,石狩郡新篠津村,1
13315,北海道,松前郡松前町,7
13323,北海道,松前郡福島町,2
13340,北海道,上磯郡木古内町,2
13374,北海道,亀田郡七飯町,7
13439,北海道,茅部郡鹿部町,4
13455,北海道,茅部郡森町,5
13463,北海道,二海郡八雲町,2
13471,北海道,山越郡長万部町,1
13625,北海道,檜山郡上ノ国町,1
13676,北海道,奥尻郡奥尻町,2
13714,北海道,久遠郡せたな町,1
13919,北海道,島牧郡島牧村,1
13935,北海道,寿都郡黒松内町,3
13943,北海道,磯谷郡蘭越町,1
13960,北海道,虻田郡真狩村,1
13986,北海道,虻田郡喜茂別町,1
14010,北海道,岩内郡共和町,2
14028,北海道,岩内郡岩内町,4
14036,北海道,古宇郡泊村,2
14052,北海道,積丹郡積丹町,3
14087,北海道,余市郡余市町,1
14231,北海道,空知郡南幌町,3
14249,北海道,空知郡奈井江町,3
14257,北海道,空知郡上砂川町,2
