団体コード,都道府県名,市区町村名,開設局数
20001,青森県,,401
22012,青森県,青森市,67
22021,青森県,弘前市,51
22039,青森県,八戸市,55
22047,青森県,黒石市,8
22055,青森県,五所川原市,24
22063,青森県,十和田市,24
22071,青森県,三沢市,5
22080,青森県,むつ市,24
22098,青森県,つがる市,17
22101,青森県,平川市,12
23019,青森県,東津軽郡平内町,9
23043,青森県,東津軽郡蓬田村,2
23078,青森県,東津軽郡外ヶ浜町,2
23213,青森県,西津軽郡鰺ヶ沢町,3
23230,青森県,西津軽郡深浦町,1
23612,青森県,南津軽郡藤崎町,6
23621,青森県,南津軽郡大鰐町,4
23671,青森県,南津軽郡田舎館村,4
23817,青森県,北津軽郡板柳町,5
23841,青森県,北津軽郡鶴田町,8
23876,青森県,北津軽郡中泊町,5
24015,青森県,上北郡野辺地町,5
24023,青森県,上北郡七戸町,3
24058,青森県,上北郡六戸町,1
24066,青森県,上北郡横浜町,2
24082,青森県,上北郡東北町,7
24112,青森県,上北郡六ヶ所村,6
24121,青森県,上北郡おいらせ町,11
24236,青森県,下北郡大間町,3
24244,青森県,下北郡東通村,3
24252,青森県,下北郡風間浦村,2
24261,青森県,下北郡佐井村,2
24414,青森県,三戸郡三戸町,3
24422,青森県,三戸郡五戸町,10
24457,青森県,三戸郡南部町,4
24465,青森県,三戸郡階上町,3
30007,岩手県,,379
32018,岩手県,盛岡市,63
32026,岩手県,宮古市,43
32034,岩手県,大船渡市,22
32051,岩手県,花巻市,17
32069,岩手県,北上市,11
32077,岩手県,久慈市,40
32085,岩手県,遠野市,8
32093,岩手県,一関市,24
32107,岩手県,陸前高田市,12
32115,岩手県,釜石市,14
32131,岩手県,二戸市,18
32140,岩手県,八幡平市,10
32158,岩手県,奥州市,11
32166,岩手県,滝沢市,5
33014,岩手県,岩手郡雫石町,5
33022,岩手県,岩手郡葛巻町,4
33031,岩手県,岩手郡岩手町,5
33219,岩手県,紫波郡紫波町,11
33227,岩手県,紫波郡矢巾町,6
33669,岩手県,和賀郡西和賀町,2
33812,岩手県,胆沢郡金ケ崎町,5
34029,岩手県,西磐井郡平泉町,4
34410,岩手県,気仙郡住田町,3
34614,岩手県,上閉伊郡大槌町,8
34827,岩手県,下閉伊郡山田町,6
34835,岩手県,下閉伊郡岩泉町,2
35017,岩手県,九戸郡軽米町,4
35033,岩手県,九戸郡野田村,2
35068,岩手県,九戸郡九戸村,2
35076,岩手県,九戸郡洋野町,5
35246,岩手県,二戸郡一戸町,7
40002,宮城県,,510
41017,宮城県,仙台市青葉区,26
41025,宮城県,仙台市宮城野区,27
41033,宮城県,仙台市若林区,18
41041,宮城県,仙台市太白区,21
41050,宮城県,仙台市泉区,39
42021,宮城県,石巻市,43
42030,宮城県,塩竈市,9
42056,宮城県,気仙沼市,17
42064,宮城県,白石市,12
42072,宮城県,名取市,23
42081,宮城県,角田市,10
42099,宮城県,多賀城市,10
42111,宮城県,岩沼市,13
42129,宮城県,登米市,33
42137,宮城県,栗原市,33
42145,宮城県,東松島市,16
42153,宮城県,大崎市,27
42161,宮城県,富谷市,6
43010,宮城県,刈田郡蔵王町,6
43028,宮城県,刈田郡七ケ宿町,1
43214,宮城県,柴田郡大河原町,6
43222,宮城県,柴田郡村田町,6
43231,宮城県,柴田郡柴田町,11
43249,宮城県,柴田郡川崎町,4
43419,宮城県,伊具郡丸森町,2
43613,宮城県,亘理郡亘理町,8
43621,宮城県,亘理郡山元町,6
44016,宮城県,宮城郡松島町,6
44041,宮城県,宮城郡七ヶ浜町,5
44067,宮城県,宮城郡利府町,14
44211,宮城県,黒川郡大和町,5
44229,宮城県,黒川郡大郷町,7
44245,宮城県,黒川郡大衡村,4
44440,宮城県,加美郡色麻町,6
44458,宮城県,加美郡加美町,4
45012,宮城県,遠田郡涌谷町,8
45055,宮城県,遠田郡美里町,9
45811,宮城県,牡鹿郡女川町,5
46060,宮城県,本吉郡南三陸町,4
50008,秋田県,,472
52019,秋田県,秋田市,88
52027,秋田県,能代市,22
52035,秋田県,横手市,46
52043,秋田県,大館市,46
52060,秋田県,男鹿市,19
52078,秋田県,湯沢市,26
52094,秋田県,鹿角市,18
52108,秋田県,由利本荘市,26
52116,秋田県,潟上市,19
52124,秋田県,大仙市,37
52132,秋田県,北秋田市,27
52141,秋田県,にかほ市,15
