団体コード,都道府県名,市区町村名,開設局数
80004,茨城県,,747
82015,茨城県,水戸市,65
82023,茨城県,日立市,62
82031,茨城県,土浦市,19
82040,茨城県,古河市,38
82058,茨城県,石岡市,14
82074,茨城県,結城市,14
82082,茨城県,龍ケ崎市,7
82104,茨城県,下妻市,13
82112,茨城県,常総市,15
82121,茨城県,常陸太田市,16
82147,茨城県,高萩市,8
82155,茨城県,北茨城市,11
82163,茨城県,笠間市,27
82171,茨城県,取手市,27
82198,茨城県,牛久市,11
82201,茨城県,つくば市,74
82210,茨城県,ひたちなか市,52
82228,茨城県,鹿嶋市,27
82236,茨城県,潮来市,2
82244,茨城県,守谷市,13
82252,茨城県,常陸大宮市,7
82261,茨城県,那珂市,13
82279,茨城県,筑西市,32
82287,茨城県,坂東市,22
82295,茨城県,稲敷市,23
82309,茨城県,かすみがうら市,2
82317,茨城県,桜川市,13
82325,茨城県,神栖市,7
82333,茨城県,行方市,8
82341,茨城県,鉾田市,6
82350,茨城県,つくばみらい市,13
82368,茨城県,小美玉市,11
83020,茨城県,東茨城郡茨城町,11
83097,茨城県,東茨城郡大洗町,3
83101,茨城県,東茨城郡城里町,11
83411,茨城県,那珂郡東海村,5
83640,茨城県,久慈郡大子町,3
84425,茨城県,稲敷郡美浦村,5
84433,茨城県,稲敷郡阿見町,9
84476,茨城県,稲敷郡河内町,3
85219,茨城県,結城郡八千代町,3
85421,茨城県,猿島郡五霞町,5
85464,茨城県,猿島郡境町,13
85642,茨城県,北相馬郡利根町,4
90000,栃木県,,472
92011,栃木県,宇都宮市,115
92029,栃木県,足利市,33
92037,栃木県,栃木市,20
92045,栃木県,佐野市,24
92053,栃木県,鹿沼市,46
92061,栃木県,日光市,17
92088,栃木県,小山市,53
92096,栃木県,真岡市,11
92100,栃木県,大田原市,29
92118,栃木県,矢板市,11
92134,栃木県,那須塩原市,32
92142,栃木県,さくら市,16
92151,栃木県,那須烏山市,9
92169,栃木県,下野市,9
93017,栃木県,河内郡上三川町,5
93424,栃木県,芳賀郡益子町,6
93441,栃木県,芳賀郡市貝町,3
93459,栃木県,芳賀郡芳賀町,4
93611,栃木県,下都賀郡壬生町,6
93645,栃木県,下都賀郡野木町,8
93840,栃木県,塩谷郡塩谷町,1
93866,栃木県,塩谷郡高根沢町,6
94072,栃木県,那須郡那須町,4
94111,栃木県,那須郡那珂川町,4
100005,群馬県,,435
102016,群馬県,前橋市,63
102024,群馬県,高崎市,89
102032,群馬県,桐生市,26
102041,群馬県,伊勢崎市,56
102059,群馬県,太田市,61
102067,群馬県,沼田市,11
102075,群馬県,館林市,12
102083,群馬県,渋川市,8
102091,群馬県,藤岡市,14
102105,群馬県,富岡市,8
102113,群馬県,安中市,16
102121,群馬県,みどり市,16
103446,群馬県,北群馬郡榛東村,3
103454,群馬県,北群馬郡吉岡町,3
103829,群馬県,甘楽郡下仁田町,1
104213,群馬県,吾妻郡中之条町,7
104256,群馬県,吾妻郡嬬恋村,2
104264,群馬県,吾妻郡草津町,3
104281,群馬県,吾妻郡高山村,1
104299,群馬県,吾妻郡東吾妻町,2
104493,群馬県,利根郡みなかみ町,4
104647,群馬県,佐波郡玉村町,10
105210,群馬県,邑楽郡板倉町,1
105236,群馬県,邑楽郡千代田町,2
105244,群馬県,邑楽郡大泉町,9
105252,群馬県,邑楽郡邑楽町,7
110001,埼玉県,,1758
111015,埼玉県,さいたま市西区,22
111023,埼玉県,さいたま市北区,47
111031,埼玉県,さいたま市大宮区,56
111040,埼玉県,さいたま市見沼区,48
111058,埼玉県,さいたま市中央区,25
111066,埼玉県,さいたま市桜区,21
111074,埼玉県,さいたま市浦和区,30
111082,埼玉県,さいたま市南区,49
111091,埼玉県,さいたま市緑区,32
111104,埼玉県,さいたま市岩槻区,35
112011,埼玉県,川越市,77
112020,埼玉県,熊谷市,56
