団体コード,都道府県名,市区町村名,開設局数
130001,東京都,,3
131032,東京都,港区,3
140007,神奈川県,,3
141101,神奈川県,横浜市戸塚区,3
150002,新潟県,,627
151017,新潟県,新潟市北区,31
151025,新潟県,新潟市東区,29
151033,新潟県,新潟市中央区,48
151041,新潟県,新潟市江南区,34
151050,新潟県,新潟市秋葉区,32
151068,新潟県,新潟市南区,19
151076,新潟県,新潟市西区,55
151084,新潟県,新潟市西蒲区,37
152021,新潟県,長岡市,67
152048,新潟県,三条市,29
152056,新潟県,柏崎市,41
152064,新潟県,新発田市,9
152081,新潟県,小千谷市,12
152099,新潟県,加茂市,5
152102,新潟県,十日町市,12
152111,新潟県,見附市,18
152129,新潟県,村上市,2
152137,新潟県,燕市,13
152161,新潟県,糸魚川市,7
152170,新潟県,妙高市,8
152188,新潟県,五泉市,17
152226,新潟県,上越市,14
152234,新潟県,阿賀野市,11
152242,新潟県,佐渡市,17
152251,新潟県,魚沼市,8
152269,新潟県,南魚沼市,11
152277,新潟県,胎内市,9
153079,新潟県,北蒲原郡聖籠町,3
153427,新潟県,西蒲原郡弥彦村,5
153613,新潟県,南蒲原郡田上町,5
153851,新潟県,東蒲原郡阿賀町,3
154059,新潟県,三島郡出雲崎町,5
154822,新潟県,中魚沼郡津南町,6
155047,新潟県,刈羽郡刈羽村,5
200000,長野県,,628
202011,長野県,長野市,87
202029,長野県,松本市,56
202037,長野県,上田市,52
202045,長野県,岡谷市,12
202053,長野県,飯田市,45
202061,長野県,諏訪市,8
202070,長野県,須坂市,6
202088,長野県,小諸市,14
202096,長野県,伊那市,12
202100,長野県,駒ヶ根市,10
202118,長野県,中野市,15
202126,長野県,大町市,12
202134,長野県,飯山市,7
202142,長野県,茅野市,21
202151,長野県,塩尻市,18
202177,長野県,佐久市,37
202185,長野県,千曲市,19
202193,長野県,東御市,11
202207,長野県,安曇野市,24
203033,長野県,南佐久郡小海町,1
203050,長野県,南佐久郡南牧村,3
203092,長野県,南佐久郡佐久穂町,4
203211,長野県,北佐久郡軽井沢町,10
203238,長野県,北佐久郡御代田町,6
203246,長野県,北佐久郡立科町,8
203505,長野県,小県郡長和町,11
203611,長野県,諏訪郡下諏訪町,5
203629,長野県,諏訪郡富士見町,5
203637,長野県,諏訪郡原村,4
203823,長野県,上伊那郡辰野町,11
203831,長野県,上伊那郡箕輪町,7
203840,長野県,上伊那郡飯島町,3
203858,長野県,上伊那郡南箕輪村,10
203866,長野県,上伊那郡中川村,2
203882,長野県,上伊那郡宮田村,1
204021,長野県,下伊那郡松川町,5
204030,長野県,下伊那郡高森町,4
204048,長野県,下伊那郡阿南町,1
204072,長野県,下伊那郡阿智村,3
204111,長野県,下伊那郡下條村,5
204129,長野県,下伊那郡売木村,2
204153,長野県,下伊那郡喬木村,1
204161,長野県,下伊那郡豊丘村,2
204226,長野県,木曽郡上松町,1
204234,長野県,木曽郡南木曽町,1
204251,長野県,木曽郡木祖村,2
204323,長野県,木曽郡木曽町,6
204463,長野県,東筑摩郡麻績村,1
204510,長野県,東筑摩郡朝日村,3
204528,長野県,東筑摩郡筑北村,4
204811,長野県,北安曇郡池田町,3
204820,長野県,北安曇郡松川村,1
204854,長野県,北安曇郡白馬村,1
205214,長野県,埴科郡坂城町,5
205419,長野県,上高井郡小布施町,3
205435,長野県,上高井郡高山村,3
205621,長野県,下高井郡木島平村,1
205834,長野県,上水内郡信濃町,5
205885,長野県,上水内郡小川村,2
205907,長野県,上水内郡飯綱町,4
206024,長野県,下水内郡栄村,2
