団体コード,都道府県名,市区町村名,開設局数
210005,岐阜県,,843
212016,岐阜県,岐阜市,88
212024,岐阜県,大垣市,47
212032,岐阜県,高山市,48
212041,岐阜県,多治見市,44
212059,岐阜県,関市,50
212067,岐阜県,中津川市,38
212075,岐阜県,美濃市,11
212083,岐阜県,瑞浪市,21
212091,岐阜県,羽島市,22
212105,岐阜県,恵那市,25
212113,岐阜県,美濃加茂市,20
212121,岐阜県,土岐市,21
212130,岐阜県,各務原市,44
212148,岐阜県,可児市,47
212156,岐阜県,山県市,23
212164,岐阜県,瑞穂市,6
212172,岐阜県,飛騨市,12
212181,岐阜県,本巣市,19
212199,岐阜県,郡上市,39
212202,岐阜県,下呂市,39
212211,岐阜県,海津市,16
213021,岐阜県,羽島郡岐南町,7
213039,岐阜県,羽島郡笠松町,7
213411,岐阜県,養老郡養老町,12
213616,岐阜県,不破郡垂井町,8
213624,岐阜県,不破郡関ケ原町,6
213811,岐阜県,安八郡神戸町,10
213829,岐阜県,安八郡輪之内町,2
213837,岐阜県,安八郡安八町,8
214019,岐阜県,揖斐郡揖斐川町,17
214035,岐阜県,揖斐郡大野町,10
214043,岐阜県,揖斐郡池田町,9
214213,岐阜県,本巣郡北方町,6
215015,岐阜県,加茂郡坂祝町,6
215023,岐阜県,加茂郡富加町,2
215031,岐阜県,加茂郡川辺町,6
215040,岐阜県,加茂郡七宗町,4
215058,岐阜県,加茂郡八百津町,13
215066,岐阜県,加茂郡白川町,14
215074,岐阜県,加茂郡東白川村,3
215210,岐阜県,可児郡御嵩町,11
216046,岐阜県,大野郡白川村,2
220001,静岡県,,1339
221015,静岡県,静岡市葵区,92
221023,静岡県,静岡市駿河区,57
221031,静岡県,静岡市清水区,94
221317,静岡県,浜松市中区,49
221325,静岡県,浜松市東区,34
221333,静岡県,浜松市西区,37
221341,静岡県,浜松市南区,28
221350,静岡県,浜松市北区,43
221368,静岡県,浜松市浜北区,25
221376,静岡県,浜松市天竜区,33
222038,静岡県,沼津市,57
222054,静岡県,熱海市,17
222062,静岡県,三島市,26
222071,静岡県,富士宮市,37
222089,静岡県,伊東市,19
222097,静岡県,島田市,38
222101,静岡県,富士市,70
222119,静岡県,磐田市,41
222127,静岡県,焼津市,46
222135,静岡県,掛川市,52
222143,静岡県,藤枝市,49
222151,静岡県,御殿場市,33
222160,静岡県,袋井市,33
222194,静岡県,下田市,20
222208,静岡県,裾野市,17
222216,静岡県,湖西市,33
222224,静岡県,伊豆市,31
222232,静岡県,御前崎市,19
222241,静岡県,菊川市,30
222259,静岡県,伊豆の国市,16
222267,静岡県,牧之原市,31
223018,静岡県,賀茂郡東伊豆町,9
223026,静岡県,賀茂郡河津町,10
223042,静岡県,賀茂郡南伊豆町,13
223051,静岡県,賀茂郡松崎町,5
223069,静岡県,賀茂郡西伊豆町,10
223255,静岡県,田方郡函南町,18
223417,静岡県,駿東郡清水町,8
223425,静岡県,駿東郡長泉町,10
223441,静岡県,駿東郡小山町,14
224243,静岡県,榛原郡吉田町,10
224294,静岡県,榛原郡川根本町,12
224618,静岡県,周智郡森町,13
230006,愛知県,,2217
231011,愛知県,名古屋市千種区,45
231029,愛知県,名古屋市東区,35
231037,愛知県,名古屋市北区,28
231045,愛知県,名古屋市西区,47
231053,愛知県,名古屋市中村区,94
231061,愛知県,名古屋市中区,142
231070,愛知県,名古屋市昭和区,29
231088,愛知県,名古屋市瑞穂区,24
231096,愛知県,名古屋市熱田区,21
231100,愛知県,名古屋市中川区,55
231118,愛知県,名古屋市港区,60
231126,愛知県,名古屋市南区,34
231134,愛知県,名古屋市守山区,37
231142,愛知県,名古屋市緑区,67
231151,愛知県,名古屋市名東区,40
231169,愛知県,名古屋市天白区,37
232017,愛知県,豊橋市,86
232025,愛知県,岡崎市,94
232033,愛知県,一宮市,90
232041,愛知県,瀬戸市,46
232050,愛知県,半田市,25
232068,愛知県,春日井市,57
232076,愛知県,豊川市,50
232084,愛知県,津島市,18
232092,愛知県,碧南市,25
232106,愛知県,刈谷市,30
232114,愛知県,豊田市,104
232122,愛知県,安城市,40
232131,愛知県,西尾市,63
232149,愛知県,蒲郡市,22
232157,愛知県,犬山市,19
232165,愛知県,常滑市,30
232173,愛知県,江南市,18
232190,愛知県,小牧市,29
232203,愛知県,稲沢市,31
232211,愛知県,新城市,32
232220,愛知県,東海市,26
232238,愛知県,大府市,30
232246,愛知県,知多市,20
232254,愛知県,知立市,13
232262,愛知県,尾張旭市,22
232271,愛知県,高浜市,13
232289,愛知県,岩倉市,9
232297,愛知県,豊明市,21
232301,愛知県,日進市,26
232319,愛知県,田原市,43
232327,愛知県,愛西市,17
