団体コード,都道府県名,市区町村名,開設局数
130001,東京都,,2675
131032,東京都,港区,2675
140007,神奈川県,,4113
141101,神奈川県,横浜市戸塚区,4113
250007,滋賀県,,281
252018,滋賀県,大津市,56
252026,滋賀県,彦根市,28
252034,滋賀県,長浜市,14
252042,滋賀県,近江八幡市,26
252069,滋賀県,草津市,22
252077,滋賀県,守山市,16
252085,滋賀県,栗東市,10
252093,滋賀県,甲賀市,16
252107,滋賀県,野洲市,17
252115,滋賀県,湖南市,17
252123,滋賀県,高島市,4
252131,滋賀県,東近江市,36
252140,滋賀県,米原市,3
253839,滋賀県,蒲生郡日野町,5
253847,滋賀県,蒲生郡竜王町,2
254258,滋賀県,愛知郡愛荘町,5
254410,滋賀県,犬上郡豊郷町,1
254428,滋賀県,犬上郡甲良町,2
254436,滋賀県,犬上郡多賀町,1
260002,京都府,,493
261017,京都府,京都市北区,28
261025,京都府,京都市上京区,19
261033,京都府,京都市左京区,39
261041,京都府,京都市中京区,33
261050,京都府,京都市東山区,32
261068,京都府,京都市下京区,31
261076,京都府,京都市南区,30
261084,京都府,京都市右京区,36
261092,京都府,京都市伏見区,34
261106,京都府,京都市山科区,20
261114,京都府,京都市西京区,31
262013,京都府,福知山市,24
262021,京都府,舞鶴市,28
262030,京都府,綾部市,6
262048,京都府,宇治市,9
262056,京都府,宮津市,2
262064,京都府,亀岡市,12
262072,京都府,城陽市,13
262081,京都府,向日市,6
262099,京都府,長岡京市,9
262102,京都府,八幡市,6
262111,京都府,京田辺市,8
262129,京都府,京丹後市,3
262137,京都府,南丹市,4
262145,京都府,木津川市,11
263036,京都府,乙訓郡大山崎町,2
263222,京都府,久世郡久御山町,5
263435,京都府,綴喜郡井手町,1
263443,京都府,綴喜郡宇治田原町,6
263664,京都府,相楽郡精華町,1
264075,京都府,船井郡京丹波町,1
264652,京都府,与謝郡与謝野町,3
270008,大阪府,,1784
271021,大阪府,大阪市都島区,22
271039,大阪府,大阪市福島区,27
271047,大阪府,大阪市此花区,30
271063,大阪府,大阪市西区,46
271071,大阪府,大阪市港区,21
271080,大阪府,大阪市大正区,13
271098,大阪府,大阪市天王寺区,24
271110,大阪府,大阪市浪速区,33
271136,大阪府,大阪市西淀川区,26
271144,大阪府,大阪市東淀川区,35
271152,大阪府,大阪市東成区,18
271161,大阪府,大阪市生野区,25
271179,大阪府,大阪市旭区,15
271187,大阪府,大阪市城東区,25
271195,大阪府,大阪市阿倍野区,24
271209,大阪府,大阪市住吉区,27
271217,大阪府,大阪市東住吉区,24
271225,大阪府,大阪市西成区,20
271233,大阪府,大阪市淀川区,47
271241,大阪府,大阪市鶴見区,20
271250,大阪府,大阪市住之江区,35
271268,大阪府,大阪市平野区,34
271276,大阪府,大阪市北区,109
271284,大阪府,大阪市中央区,127
271411,大阪府,堺市堺区,36
271420,大阪府,堺市中区,25
271438,大阪府,堺市東区,15
271446,大阪府,堺市西区,27
271454,大阪府,堺市南区,21
271462,大阪府,堺市北区,25
271471,大阪府,堺市美原区,8
272027,大阪府,岸和田市,40
272035,大阪府,豊中市,23
272043,大阪府,池田市,11
272051,大阪府,吹田市,45
272060,大阪府,泉大津市,13
272078,大阪府,高槻市,65
272086,大阪府,貝塚市,17
272094,大阪府,守口市,23
272108,大阪府,枚方市,40
272116,大阪府,茨木市,47
272124,大阪府,八尾市,46
272132,大阪府,泉佐野市,20
272141,大阪府,富田林市,19
272159,大阪府,寝屋川市,34
272167,大阪府,河内長野市,26
272175,大阪府,松原市,18
272183,大阪府,大東市,14
272191,大阪府,和泉市,22
272205,大阪府,箕面市,16
272213,大阪府,柏原市,14
272221,大阪府,羽曳野市,20
272230,大阪府,門真市,23
272248,大阪府,摂津市,11
272256,大阪府,高石市,10
272264,大阪府,藤井寺市,7
272272,大阪府,東大阪市,95
272281,大阪府,泉南市,15
272299,大阪府,四條畷市,10
272302,大阪府,交野市,16
272311,大阪府,大阪狭山市,12
272329,大阪府,阪南市,3
273015,大阪府,三島郡島本町,2
273210,大阪府,豊能郡豊能町,3
273228,大阪府,豊能郡能勢町,2
273414,大阪府,泉北郡忠岡町,3
273619,大阪府,泉南郡熊取町,8
273627,大阪府,泉南郡田尻町,1
273660,大阪府,泉南郡岬町,1
273813,大阪府,南河内郡太子町,2
273821,大阪府,南河内郡河南町,3
280003,兵庫県,,1176
281018,兵庫県,神戸市東灘区,67
281026,兵庫県,神戸市灘区,45
281051,兵庫県,神戸市兵庫区,33
281069,兵庫県,神戸市長田区,21
281077,兵庫県,神戸市須磨区,20
281085,兵庫県,神戸市垂水区,26
281093,兵庫県,神戸市北区,42
281107,兵庫県,神戸市中央区,71
281115,兵庫県,神戸市西区,38
282014,兵庫県,姫路市,117
282022,兵庫県,尼崎市,110
282031,兵庫県,明石市,30
282049,兵庫県,西宮市,182
282057,兵庫県,洲本市,3
282065,兵庫県,芦屋市,24
282073,兵庫県,伊丹市,37
282081,兵庫県,相生市,8
282090,兵庫県,豊岡市,14
282103,兵庫県,加古川市,36
282120,兵庫県,赤穂市,3
282138,兵庫県,西脇市,3
282146,兵庫県,宝塚市,56
282154,兵庫県,三木市,11
282162,兵庫県,高砂市,16
282171,兵庫県,川西市,33
282189,兵庫県,小野市,9
282197,兵庫県,三田市,13
282201,兵庫県,加西市,7
282219,兵庫県,丹波篠山市,2
282227,兵庫県,養父市,2
282243,兵庫県,南あわじ市,6
282251,兵庫県,朝来市,1
282260,兵庫県,淡路市,3
282286,兵庫県,加東市,3
282294,兵庫県,たつの市,24
283011,兵庫県,川辺郡猪名川町,6
283657,兵庫県,多可郡多可町,3
283819,兵庫県,加古郡稲美町,14
283827,兵庫県,加古郡播磨町,8
284432,兵庫県,神崎郡福崎町,6
284467,兵庫県,神崎郡神河町,1
284645,兵庫県,揖保郡太子町,11
284815,兵庫県,赤穂郡上郡町,5
285013,兵庫県,佐用郡佐用町,6
290009,奈良県,,293
292010,奈良県,奈良市,57
292028,奈良県,大和高田市,20
292036,奈良県,大和郡山市,26
292044,奈良県,天理市,19
292052,奈良県,橿原市,30
292061,奈良県,桜井市,13
292079,奈良県,五條市,15
292087,奈良県,御所市,9
292095,奈良県,生駒市,23
292109,奈良県,香芝市,14
292117,奈良県,葛城市,7
292125,奈良県,宇陀市,9
293229,奈良県,山辺郡山添村,2
293423,奈良県,生駒郡平群町,2
293431,奈良県,生駒郡三郷町,4
293440,奈良県,生駒郡斑鳩町,3
293458,奈良県,生駒郡安堵町,1
294012,奈良県,高市郡高取町,1
294241,奈良県,北葛城郡上牧町,6
294250,奈良県,北葛城郡王寺町,4
294268,奈良県,北葛城郡広陵町,12
