団体コード,都道府県名,市区町村名,開設局数
310000,鳥取県,,91
312011,鳥取県,鳥取市,50
312029,鳥取県,米子市,26
312037,鳥取県,倉吉市,5
312045,鳥取県,境港市,1
313289,鳥取県,八頭郡智頭町,4
313297,鳥取県,八頭郡八頭町,3
313840,鳥取県,西伯郡日吉津村,2
320005,島根県,,74
322016,島根県,松江市,39
322024,島根県,浜田市,2
322032,島根県,出雲市,13
322041,島根県,益田市,8
322059,島根県,大田市,2
322075,島根県,江津市,7
322091,島根県,雲南市,2
324418,島根県,邑智郡川本町,1
330001,岡山県,,214
331015,岡山県,岡山市北区,39
331023,岡山県,岡山市中区,15
331031,岡山県,岡山市東区,28
331040,岡山県,岡山市南区,15
332020,岡山県,倉敷市,95
332038,岡山県,津山市,2
332054,岡山県,笠岡市,10
332071,岡山県,井原市,4
332097,岡山県,高梁市,1
332127,岡山県,瀬戸内市,3
334235,岡山県,都窪郡早島町,2
340006,広島県,,325
341011,広島県,広島市中区,17
341029,広島県,広島市東区,11
341037,広島県,広島市南区,18
341045,広島県,広島市西区,16
341053,広島県,広島市安佐南区,21
341061,広島県,広島市安佐北区,40
341070,広島県,広島市安芸区,9
341088,広島県,広島市佐伯区,29
342025,広島県,呉市,22
342033,広島県,竹原市,2
342041,広島県,三原市,8
342050,広島県,尾道市,6
342076,広島県,福山市,84
342084,広島県,府中市,1
342092,広島県,三次市,3
342122,広島県,東広島市,14
342131,広島県,廿日市市,10
342157,広島県,江田島市,5
343021,広島県,安芸郡府中町,2
343048,広島県,安芸郡海田町,3
343072,広島県,安芸郡熊野町,4
350001,山口県,,184
352012,山口県,下関市,52
352021,山口県,宇部市,41
352039,山口県,山口市,33
352047,山口県,萩市,6
352063,山口県,防府市,21
352071,山口県,下松市,1
352080,山口県,岩国市,6
352128,山口県,柳井市,2
352152,山口県,周南市,6
352161,山口県,山陽小野田市,13
353051,山口県,大島郡周防大島町,3
