団体コード,都道府県名,市区町村名,開設局数
360007,徳島県,,127
362018,徳島県,徳島市,46
362026,徳島県,鳴門市,8
362034,徳島県,小松島市,5
362042,徳島県,阿南市,10
362051,徳島県,吉野川市,5
362069,徳島県,阿波市,13
362077,徳島県,美馬市,5
362085,徳島県,三好市,3
363014,徳島県,勝浦郡勝浦町,3
363219,徳島県,名東郡佐那河内村,3
363413,徳島県,名西郡石井町,4
363421,徳島県,名西郡神山町,3
363871,徳島県,海部郡美波町,2
363880,徳島県,海部郡海陽町,1
364011,徳島県,板野郡松茂町,3
364029,徳島県,板野郡北島町,3
364037,徳島県,板野郡藍住町,2
364045,徳島県,板野郡板野町,4
364053,徳島県,板野郡上板町,2
364681,徳島県,美馬郡つるぎ町,2
370002,香川県,,185
372013,香川県,高松市,80
372021,香川県,丸亀市,15
372030,香川県,坂出市,5
372048,香川県,善通寺市,6
372056,香川県,観音寺市,9
372064,香川県,さぬき市,5
372072,香川県,東かがわ市,4
372081,香川県,三豊市,21
373222,香川県,小豆郡土庄町,4
373249,香川県,小豆郡小豆島町,10
373419,香川県,木田郡三木町,4
373869,香川県,綾歌郡宇多津町,1
373877,香川県,綾歌郡綾川町,8
374032,香川県,仲多度郡琴平町,4
374041,香川県,仲多度郡多度津町,4
374067,香川県,仲多度郡まんのう町,5
380008,愛媛県,,228
382019,愛媛県,松山市,95
382027,愛媛県,今治市,16
382035,愛媛県,宇和島市,17
382043,愛媛県,八幡浜市,5
382051,愛媛県,新居浜市,24
382060,愛媛県,西条市,20
382078,愛媛県,大洲市,3
382108,愛媛県,伊予市,8
382132,愛媛県,四国中央市,23
382141,愛媛県,西予市,5
382159,愛媛県,東温市,2
383864,愛媛県,上浮穴郡久万高原町,2
384020,愛媛県,伊予郡砥部町,2
384429,愛媛県,西宇和郡伊方町,2
385069,愛媛県,南宇和郡愛南町,4
390003,高知県,,75
392014,高知県,高知市,58
392049,高知県,南国市,4
392057,高知県,土佐市,4
392103,高知県,四万十市,3
392111,高知県,香南市,3
392120,高知県,香美市,1
393070,高知県,安芸郡芸西村,1
393444,高知県,長岡郡大豊町,1
