団体コード,都道府県名,市区町村名,開設局数
130001,東京都,,5
131032,東京都,港区,5
140007,神奈川県,,5
141101,神奈川県,横浜市戸塚区,5
400009,福岡県,,1024
401013,福岡県,北九州市門司区,24
401030,福岡県,北九州市若松区,26
401056,福岡県,北九州市戸畑区,9
401064,福岡県,北九州市小倉北区,26
401072,福岡県,北九州市小倉南区,41
401081,福岡県,北九州市八幡東区,19
401099,福岡県,北九州市八幡西区,48
401315,福岡県,福岡市東区,31
401323,福岡県,福岡市博多区,58
401331,福岡県,福岡市中央区,22
401340,福岡県,福岡市南区,23
401358,福岡県,福岡市西区,28
401366,福岡県,福岡市城南区,9
401374,福岡県,福岡市早良区,24
402028,福岡県,大牟田市,17
402036,福岡県,久留米市,54
402044,福岡県,直方市,18
402052,福岡県,飯塚市,50
402061,福岡県,田川市,19
402079,福岡県,柳川市,7
402109,福岡県,八女市,23
402117,福岡県,筑後市,14
402125,福岡県,大川市,17
402133,福岡県,行橋市,20
402141,福岡県,豊前市,15
402150,福岡県,中間市,14
402168,福岡県,小郡市,13
402176,福岡県,筑紫野市,19
402184,福岡県,春日市,9
402192,福岡県,大野城市,11
402206,福岡県,宗像市,35
402214,福岡県,太宰府市,9
402231,福岡県,古賀市,15
402249,福岡県,福津市,16
402257,福岡県,うきは市,13
402265,福岡県,宮若市,12
402273,福岡県,嘉麻市,10
402281,福岡県,朝倉市,27
402290,福岡県,みやま市,11
402303,福岡県,糸島市,17
402311,福岡県,那珂川市,7
403415,福岡県,糟屋郡宇美町,5
403423,福岡県,糟屋郡篠栗町,5
403431,福岡県,糟屋郡志免町,4
403440,福岡県,糟屋郡須恵町,4
403458,福岡県,糟屋郡新宮町,5
403482,福岡県,糟屋郡久山町,2
403491,福岡県,糟屋郡粕屋町,7
403814,福岡県,遠賀郡芦屋町,6
403822,福岡県,遠賀郡水巻町,4
403831,福岡県,遠賀郡岡垣町,8
403849,福岡県,遠賀郡遠賀町,6
404012,福岡県,鞍手郡小竹町,5
404021,福岡県,鞍手郡鞍手町,10
404217,福岡県,嘉穂郡桂川町,6
404471,福岡県,朝倉郡筑前町,7
405035,福岡県,三井郡大刀洗町,7
405221,福岡県,三潴郡大木町,3
405442,福岡県,八女郡広川町,5
406015,福岡県,田川郡香春町,5
406023,福岡県,田川郡添田町,1
406040,福岡県,田川郡糸田町,3
406058,福岡県,田川郡川崎町,5
406082,福岡県,田川郡大任町,4
406091,福岡県,田川郡赤村,3
406104,福岡県,田川郡福智町,6
406210,福岡県,京都郡苅田町,6
406422,福岡県,築上郡吉富町,2
406465,福岡県,築上郡上毛町,3
406473,福岡県,築上郡築上町,7
410004,佐賀県,,228
412015,佐賀県,佐賀市,39
412023,佐賀県,唐津市,18
412031,佐賀県,鳥栖市,8
412040,佐賀県,多久市,15
412058,佐賀県,伊万里市,24
412066,佐賀県,武雄市,29
412074,佐賀県,鹿島市,8
412082,佐賀県,小城市,12
412091,佐賀県,嬉野市,20
412104,佐賀県,神埼市,7
413275,佐賀県,神埼郡吉野ヶ里町,2
413411,佐賀県,三養基郡基山町,9
413453,佐賀県,三養基郡上峰町,3
413461,佐賀県,三養基郡みやき町,9
414018,佐賀県,西松浦郡有田町,9
414239,佐賀県,杵島郡大町町,6
414247,佐賀県,杵島郡江北町,3
414255,佐賀県,杵島郡白石町,3
414417,佐賀県,藤津郡太良町,4
420000,長崎県,,231
422011,長崎県,長崎市,59
422029,長崎県,佐世保市,35
422037,長崎県,島原市,4
422045,長崎県,諫早市,22
422053,長崎県,大村市,19
422070,長崎県,平戸市,18
422088,長崎県,松浦市,9
422096,長崎県,対馬市,5
422118,長崎県,五島市,1
422126,長崎県,西海市,14
422134,長崎県,雲仙市,9
422142,長崎県,南島原市,8
423076,長崎県,西彼杵郡長与町,3
423084,長崎県,西彼杵郡時津町,6
423211,長崎県,東彼杵郡東彼杵町,9
423238,長崎県,東彼杵郡波佐見町,4
423912,長崎県,北松浦郡佐々町,5
424111,長崎県,南松浦郡新上五島町,1
430005,熊本県,,326
431010,熊本県,熊本市中央区,25
431028,熊本県,熊本市東区,21
431036,熊本県,熊本市西区,12
431044,熊本県,熊本市南区,14
431052,熊本県,熊本市北区,19
432024,熊本県,八代市,33
432032,熊本県,人吉市,6
432041,熊本県,荒尾市,14
432059,熊本県,水俣市,3
432067,熊本県,玉名市,10
432083,熊本県,山鹿市,13
432105,熊本県,菊池市,12
432113,熊本県,宇土市,6
432121,熊本県,上天草市,3
432130,熊本県,宇城市,13
432148,熊本県,阿蘇市,2
432156,熊本県,天草市,12
432164,熊本県,合志市,13
433489,熊本県,下益城郡美里町,5
433675,熊本県,玉名郡南関町,7
433683,熊本県,玉名郡長洲町,6
433691,熊本県,玉名郡和水町,3
434035,熊本県,菊池郡大津町,10
434043,熊本県,菊池郡菊陽町,12
434230,熊本県,阿蘇郡南小国町,3
434248,熊本県,阿蘇郡小国町,3
434281,熊本県,阿蘇郡高森町,1
434329,熊本県,阿蘇郡西原村,1
434337,熊本県,阿蘇郡南阿蘇村,3
434426,熊本県,上益城郡嘉島町,4
434434,熊本県,上益城郡益城町,7
434442,熊本県,上益城郡甲佐町,4
434477,熊本県,上益城郡山都町,7
434680,熊本県,八代郡氷川町,5
434825,熊本県,葦北郡芦北町,4
434841,熊本県,葦北郡津奈木町,1
435058,熊本県,球磨郡多良木町,4
435066,熊本県,球磨郡湯前町,1
435074,熊本県,球磨郡水上村,1
435112,熊本県,球磨郡五木村,1
435121,熊本県,球磨郡山江村,1
435139,熊本県,球磨郡球磨村,1
440001,大分県,,249
442011,大分県,大分市,70
442020,大分県,別府市,22
442038,大分県,中津市,28
442046,大分県,日田市,26
442054,大分県,佐伯市,12
442062,大分県,臼杵市,11
442071,大分県,津久見市,4
442089,大分県,竹田市,9
442097,大分県,豊後高田市,3
442101,大分県,杵築市,11
442119,大分県,宇佐市,7
442127,大分県,豊後大野市,4
442135,大分県,由布市,13
442143,大分県,国東市,9
443417,大分県,速見郡日出町,13
444626,大分県,玖珠郡玖珠町,7
450006,宮崎県,,259
452017,宮崎県,宮崎市,78
452025,宮崎県,都城市,48
452033,宮崎県,延岡市,12
452041,宮崎県,日南市,13
452050,宮崎県,小林市,12
452068,宮崎県,日向市,21
452076,宮崎県,串間市,8
452084,宮崎県,西都市,9
452092,宮崎県,えびの市,11
453412,宮崎県,北諸県郡三股町,4
453820,宮崎県,東諸県郡国富町,7
453838,宮崎県,東諸県郡綾町,7
454010,宮崎県,児湯郡高鍋町,6
454028,宮崎県,児湯郡新富町,1
454052,宮崎県,児湯郡川南町,4
454061,宮崎県,児湯郡都農町,3
454214,宮崎県,東臼杵郡門川町,1
454290,宮崎県,東臼杵郡諸塚村,1
454303,宮崎県,東臼杵郡椎葉村,2
454311,宮崎県,東臼杵郡美郷町,6
454435,宮崎県,西臼杵郡五ヶ瀬町,5
460001,鹿児島県,,464
462012,鹿児島県,鹿児島市,93
462039,鹿児島県,鹿屋市,30
462047,鹿児島県,枕崎市,10
462063,鹿児島県,阿久根市,22
462080,鹿児島県,出水市,20
462101,鹿児島県,指宿市,19
462144,鹿児島県,垂水市,5
462152,鹿児島県,薩摩川内市,34
462161,鹿児島県,日置市,22
462179,鹿児島県,曽於市,15
462187,鹿児島県,霧島市,20
462195,鹿児島県,いちき串木野市,7
462209,鹿児島県,南さつま市,23
462217,鹿児島県,志布志市,13
462225,鹿児島県,奄美市,7
462233,鹿児島県,南九州市,26
462241,鹿児島県,伊佐市,18
462250,鹿児島県,姶良市,19
463922,鹿児島県,薩摩郡さつま町,15
464040,鹿児島県,出水郡長島町,6
464520,鹿児島県,姶良郡湧水町,12
464686,鹿児島県,曽於郡大崎町,6
464821,鹿児島県,肝属郡東串良町,8
464929,鹿児島県,肝属郡肝付町,9
465011,鹿児島県,熊毛郡中種子町,1
465020,鹿児島県,熊毛郡南種子町,1
465259,鹿児島県,大島郡瀬戸内町,2
465275,鹿児島県,大島郡龍郷町,1
