団体コード,都道府県名,市区町村名,開設局数
470007,沖縄県,,373
472018,沖縄県,那覇市,60
472051,沖縄県,宜野湾市,22
472077,沖縄県,石垣市,13
472085,沖縄県,浦添市,21
472093,沖縄県,名護市,26
472107,沖縄県,糸満市,18
472115,沖縄県,沖縄市,28
472123,沖縄県,豊見城市,15
472131,沖縄県,うるま市,20
472140,沖縄県,宮古島市,21
472158,沖縄県,南城市,9
473014,沖縄県,国頭郡国頭村,8
473022,沖縄県,国頭郡大宜味村,2
473031,沖縄県,国頭郡東村,2
473065,沖縄県,国頭郡今帰仁村,7
473081,沖縄県,国頭郡本部町,10
473111,沖縄県,国頭郡恩納村,4
473138,沖縄県,国頭郡宜野座村,4
473146,沖縄県,国頭郡金武町,4
473154,沖縄県,国頭郡伊江村,2
473243,沖縄県,中頭郡読谷村,7
473251,沖縄県,中頭郡嘉手納町,4
473260,沖縄県,中頭郡北谷町,6
473278,沖縄県,中頭郡北中城村,7
473286,沖縄県,中頭郡中城村,4
473294,沖縄県,中頭郡西原町,10
473481,沖縄県,島尻郡与那原町,3
473502,沖縄県,島尻郡南風原町,10
473618,沖縄県,島尻郡久米島町,8
473626,沖縄県,島尻郡八重瀬町,11
473758,沖縄県,宮古郡多良間村,1
473812,沖縄県,八重山郡竹富町,2
473821,沖縄県,八重山郡与那国町,4
