団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
10006,北海道,,653,663,10
20001,青森県,,219,233,14
30007,岩手県,,117,126,9
40002,宮城県,,380,385,5
50008,秋田県,,223,234,11
60003,山形県,,119,127,8
70009,福島県,,286,302,16
80004,茨城県,,484,498,14
90000,栃木県,,270,276,6
100005,群馬県,,309,315,6
110001,埼玉県,,1493,1510,17
120006,千葉県,,1612,1624,12
130001,東京都,,5168,5214,46
140007,神奈川県,,2007,2033,26
150002,新潟県,,401,409,8
160008,富山県,,163,171,8
170003,石川県,,204,208,4
180009,福井県,,135,138,3
190004,山梨県,,57,57,0
200000,長野県,,167,178,11
210005,岐阜県,,397,413,16
220001,静岡県,,727,762,35
230006,愛知県,,1093,1174,81
240001,三重県,,428,441,13
250007,滋賀県,,178,184,6
260002,京都府,,393,394,1
270008,大阪府,,1567,1578,11
280003,兵庫県,,914,924,10
290009,奈良県,,211,223,12
300004,和歌山県,,72,76,4
310000,鳥取県,,97,98,1
320005,島根県,,95,101,6
330001,岡山県,,223,224,1
340006,広島県,,340,336,-4
350001,山口県,,196,202,6
360007,徳島県,,73,73,0
370002,香川県,,106,109,3
380008,愛媛県,,159,166,7
390003,高知県,,53,54,1
400009,福岡県,,709,724,15
410004,佐賀県,,92,96,4
420000,長崎県,,97,100,3
430005,熊本県,,158,167,9
440001,大分県,,117,122,5
450006,宮崎県,,132,137,5
460001,鹿児島県,,122,126,4
470007,沖縄県,,80,86,6
